id,status,representative_case_id,similarity,cluster_id,domain,role,type,difficulty,time_semantics,coverage_signature,reason,product_loop_status,product_feature_key,management_entry_status,backend_api_status,data_facts_status,missing_components,question,expected_target,notes
"BQ0028","REVIEW","BQ0028","1.0000","product-loop:ambiguous_named_business_period","客户域","店长","query_single","easy","campaign_period","c3bab5b0197b20c9","题目只给出活动或节假日名称，未绑定年份、明确日期范围或后台正式活动周期；不能据此构造业务时间事实，需先逐题复核。","evidence_review_required","ambiguous_named_business_period","present_in_related_workflow","present_in_related_workflow","evidence_review_required","data_facts","徐雅婷上次到店是五一假期吗，具体哪天","Customer 表","单表字段查询"
"BQ0029","KEEP","BQ0029","1.0000","C0016","客户域","店长","query_single","easy","none","d81ffd9083408ec0","coverage_representative","current_release_test","customer_record","present","present","present","","徐雅婷累计消费了多少钱","Customer 表","单表字段查询"
"BQ0030","KEEP","BQ0030","1.0000","C0017","客户域","店长","query_single","easy","none","d81ffd9083408ec0","coverage_representative","current_release_test","customer_record","present","present","present","","查一下徐雅婷的生日","Customer 表","单表字段查询"
"BQ0031","KEEP","BQ0031","1.0000","C0018","客户域","店长","query_single","easy","none","d81ffd9083408ec0","coverage_representative","current_release_test","customer_record","present","present","present","","徐雅婷是从哪个渠道来的","Customer 表","单表字段查询"
"BQ0032","ROTATE","BQ0009","1.0000","C0009","客户域","店长","query_single","easy","none","7fc97e2c73aeb5db","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_record","present","present","present","","徐雅婷的档案里有没有过敏史","Customer 表","单表字段查询"
"BQ0033","REVIEW","BQ0033","1.0000","product-loop:ambiguous_named_business_period","客户域","店长","query_single","easy","campaign_period","c3bab5b0197b20c9","题目只给出活动或节假日名称，未绑定年份、明确日期范围或后台正式活动周期；不能据此构造业务时间事实，需先逐题复核。","evidence_review_required","ambiguous_named_business_period","present_in_related_workflow","present_in_related_workflow","evidence_review_required","data_facts","五一假期到店的客户有多少","Customer 表","单表字段查询"
"BQ0034","ROTATE","BQ0012","1.0000","C0012","客户域","店长","query_single","easy","none","d81ffd9083408ec0","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_record","present","present","present","","李晓雯的标签有哪些","Customer 表","单表字段查询"
"BQ0035","ROTATE","BQ0001","1.0000","C0001","客户域","店长","query_single","easy","year_over_year","1fa67f7657621de7","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_record","present","present","present","","去年同期新增了多少个客户","Customer 表","单表字段查询"
"BQ0036","ROTATE","BQ0002","1.0000","C0002","客户域","店长","query_single","easy","none","d81ffd9083408ec0","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_record","present","present","present","","郭若兰的手机号是多少","Customer 表","单表字段查询"
"BQ0037","ROTATE","BQ0003","1.0000","C0003","客户域","店长","query_single","easy","none","d81ffd9083408ec0","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_record","present","present","present","","郭若兰的会员等级是什么","Customer 表","单表字段查询"
"BQ0038","KEEP","BQ0038","1.0000","C0019","客户域","店长","query_single","easy","none","d81ffd9083408ec0","coverage_representative","current_release_test","customer_record","present","present","present","","王思琪上次到店是开业至今吗，具体哪天","Customer 表","单表字段查询"
"BQ0039","ROTATE","BQ0006","0.9091","C0006","客户域","店长","query_single","easy","none","d81ffd9083408ec0","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_record","present","present","present","","王思琪累计消费了多少钱","Customer 表","单表字段查询"
"BQ0040","ROTATE","BQ0007","0.8889","C0007","客户域","店长","query_single","easy","none","d81ffd9083408ec0","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_record","present","present","present","","查一下王思琪的生日","Customer 表","单表字段查询"
"BQ0041","REVIEW","BQ0041","1.0000","product-loop:ambiguous_named_business_period","客户域","店长","query_cross","medium","campaign_period","dfd97c4075d55849","题目只给出活动或节假日名称，未绑定年份、明确日期范围或后台正式活动周期；不能据此构造业务时间事实，需先逐题复核。","evidence_review_required","ambiguous_named_business_period","present_in_related_workflow","present_in_related_workflow","evidence_review_required","data_facts","五一假期到店的客户里有哪些是金卡以上","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0042","REVIEW","BQ0042","1.0000","product-loop:ambiguous_named_business_period","客户域","店长","query_cross","medium","campaign_period","dfd97c4075d55849","题目只给出活动或节假日名称，未绑定年份、明确日期范围或后台正式活动周期；不能据此构造业务时间事实，需先逐题复核。","evidence_review_required","ambiguous_named_business_period","present_in_related_workflow","present_in_related_workflow","evidence_review_required","data_facts","消费额Top10的客户五一假期买过哪些项目","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0043","KEEP","BQ0043","1.0000","C0020","客户域","店长","query_cross","medium","none","9020129fdc817f42","legacy_gate_required","current_release_test","customer_consumption_profile","present","present","present","","哪些客户的综合养护 20 次卡快到期还没预约","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0044","KEEP","BQ0044","1.0000","C0021","客户域","店长","query_cross","medium","rolling_3m","1c7a2c4d96126fe2","coverage_representative","current_release_test","customer_consumption_profile","present","present","present","","最近三个月新客里有多少人做了第二次消费","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0045","KEEP","BQ0045","1.0000","C0022","客户域","店长","query_cross","medium","none","9020129fdc817f42","coverage_representative","current_release_test","customer_consumption_profile","present","present","present","","买过胶原焕活提拉的客户平均消费多少","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0046","KEEP","BQ0046","1.0000","C0023","客户域","店长","query_cross","medium","none","9020129fdc817f42","coverage_representative","current_release_test","customer_consumption_profile","present","present","present","","有健康档案且标注过敏的客户有哪些","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0047","KEEP","BQ0047","1.0000","C0024","客户域","店长","query_cross","medium","rolling_3m","1c7a2c4d96126fe2","coverage_representative","current_release_test","customer_consumption_profile","present","present","present","","金卡会员里最近三个月没到店的有多少人","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0048","KEEP","BQ0048","1.0000","C0025","客户域","店长","query_cross","medium","none","9020129fdc817f42","coverage_representative","current_release_test","customer_consumption_profile","present","present","present","","哪些客户同时有储值余额和未用完的综合养护 20 次卡","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0049","KEEP","BQ0049","1.0000","C0026","客户域","店长","query_cross","medium","previous_week","f957ece4e60d8314","coverage_representative","current_release_test","customer_consumption_profile","present","present","present","","办了综合养护 20 次卡但上周没来的客户名单","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0050","KEEP","BQ0050","1.0000","C0027","客户域","店长","query_cross","medium","none","9020129fdc817f42","coverage_representative","current_release_test","customer_consumption_profile","present","present","present","","张心怡都买过哪些项目和产品","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0051","KEEP","BQ0051","1.0000","C0028","客户域","店长","query_cross","medium","previous_week","f957ece4e60d8314","coverage_representative","current_release_test","customer_consumption_profile","present","present","present","","上周复购的客户主要做了什么项目","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0052","KEEP","BQ0052","1.0000","C0029","客户域","店长","query_cross","medium","none","9020129fdc817f42","coverage_representative","current_release_test","customer_consumption_profile","present","present","present","","开业至今到店的客户里有哪些是金卡以上","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0053","KEEP","BQ0053","1.0000","C0030","客户域","店长","query_cross","medium","none","9020129fdc817f42","coverage_representative","current_release_test","customer_consumption_profile","present","present","present","","消费额Top10的客户开业至今买过哪些项目","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0054","ROTATE","BQ0043","0.8800","C0020","客户域","店长","query_cross","medium","none","9020129fdc817f42","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_consumption_profile","present","present","present","","哪些客户的敏感修护 8 次卡快到期还没预约","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0055","ROTATE","BQ0044","1.0000","C0021","客户域","店长","query_cross","medium","quarter","72a25ecd4bd1b172","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_consumption_profile","present","present","present","","这个季度新客里有多少人做了第二次消费","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0056","KEEP","BQ0056","1.0000","C0031","客户域","店长","query_cross","medium","none","9020129fdc817f42","coverage_representative","current_release_test","customer_consumption_profile","present","present","present","","买过水氧清洁焕肤的客户平均消费多少","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0057","ROTATE","BQ0047","0.8947","C0024","客户域","店长","query_cross","medium","quarter","72a25ecd4bd1b172","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_consumption_profile","present","present","present","","钻石会员里这个季度没到店的有多少人","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0058","ROTATE","BQ0048","0.8889","C0025","客户域","店长","query_cross","medium","none","9020129fdc817f42","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_consumption_profile","present","present","present","","哪些客户同时有储值余额和未用完的敏感修护 8 次卡","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0059","ROTATE","BQ0049","0.8889","C0026","客户域","店长","query_cross","medium","rolling_7d","b8a37a3342d798d3","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_consumption_profile","present","present","present","","办了敏感修护 8 次卡但最近7天没来的客户名单","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0060","KEEP","BQ0060","1.0000","C0032","客户域","店长","query_cross","medium","none","9020129fdc817f42","coverage_representative","current_release_test","customer_consumption_profile","present","present","present","","吴若兰都买过哪些项目和产品","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0061","ROTATE","BQ0051","1.0000","C0028","客户域","店长","query_cross","medium","rolling_7d","b8a37a3342d798d3","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_consumption_profile","present","present","present","","最近7天复购的客户主要做了什么项目","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0062","REVIEW","BQ0062","1.0000","product-loop:ambiguous_named_business_period","客户域","店长","query_cross","medium","campaign_period","dfd97c4075d55849","题目只给出活动或节假日名称，未绑定年份、明确日期范围或后台正式活动周期；不能据此构造业务时间事实，需先逐题复核。","evidence_review_required","ambiguous_named_business_period","present_in_related_workflow","present_in_related_workflow","evidence_review_required","data_facts","春节期间到店的客户里有哪些是金卡以上","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0063","REVIEW","BQ0063","1.0000","product-loop:ambiguous_named_business_period","客户域","店长","query_cross","medium","campaign_period","dfd97c4075d55849","题目只给出活动或节假日名称，未绑定年份、明确日期范围或后台正式活动周期；不能据此构造业务时间事实，需先逐题复核。","evidence_review_required","ambiguous_named_business_period","present_in_related_workflow","present_in_related_workflow","evidence_review_required","data_facts","消费额Top10的客户春节期间买过哪些项目","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0064","ROTATE","BQ0043","0.8400","C0020","客户域","店长","query_cross","medium","none","9020129fdc817f42","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_consumption_profile","present","present","present","","哪些客户的焕肤清洁 12 次卡快到期还没预约","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0065","REVIEW","BQ0065","1.0000","product-loop:ambiguous_named_business_period","客户域","店长","query_cross","medium","campaign_period","dfd97c4075d55849","题目只给出活动或节假日名称，未绑定年份、明确日期范围或后台正式活动周期；不能据此构造业务时间事实，需先逐题复核。","evidence_review_required","ambiguous_named_business_period","present_in_related_workflow","present_in_related_workflow","evidence_review_required","data_facts","双十一期间新客里有多少人做了第二次消费","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0066","KEEP","BQ0066","1.0000","C0033","客户域","店长","query_cross","medium","none","9020129fdc817f42","coverage_representative","current_release_test","customer_consumption_profile","present","present","present","","买过背部净透护理的客户平均消费多少","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0067","REVIEW","BQ0067","1.0000","product-loop:ambiguous_named_business_period","客户域","店长","query_cross","medium","campaign_period","dfd97c4075d55849","题目只给出活动或节假日名称，未绑定年份、明确日期范围或后台正式活动周期；不能据此构造业务时间事实，需先逐题复核。","evidence_review_required","ambiguous_named_business_period","present_in_related_workflow","present_in_related_workflow","evidence_review_required","data_facts","金卡会员里双十一期间没到店的有多少人","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0068","ROTATE","BQ0048","0.8519","C0025","客户域","店长","query_cross","medium","none","9020129fdc817f42","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_consumption_profile","present","present","present","","哪些客户同时有储值余额和未用完的焕肤清洁 12 次卡","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0069","ROTATE","BQ0049","0.8519","C0026","客户域","店长","query_cross","medium","natural_year","63644cf53a4350d2","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_consumption_profile","present","present","present","","办了焕肤清洁 12 次卡但今年没来的客户名单","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0070","ROTATE","BQ0060","0.9231","C0032","客户域","店长","query_cross","medium","none","9020129fdc817f42","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_consumption_profile","present","present","present","","罗若兰都买过哪些项目和产品","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0071","ROTATE","BQ0051","1.0000","C0028","客户域","店长","query_cross","medium","natural_year","63644cf53a4350d2","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_consumption_profile","present","present","present","","今年复购的客户主要做了什么项目","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0072","KEEP","BQ0072","1.0000","C0034","客户域","店长","query_cross","medium","natural_week","f8179430101f920f","coverage_representative","current_release_test","customer_consumption_profile","present","present","present","","本周到店的客户里有哪些是金卡以上","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0073","KEEP","BQ0073","1.0000","C0035","客户域","店长","query_cross","medium","natural_week","f8179430101f920f","coverage_representative","current_release_test","customer_consumption_profile","present","present","present","","消费额Top10的客户本周买过哪些项目","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0074","ROTATE","BQ0043","0.8400","C0020","客户域","店长","query_cross","medium","none","9020129fdc817f42","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_consumption_profile","present","present","present","","哪些客户的抗衰管理 6 次卡快到期还没预约","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0075","ROTATE","BQ0044","1.0000","C0021","客户域","店长","query_cross","medium","rolling_14d","5f903ba7a816f1e0","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_consumption_profile","present","present","present","","最近14天新客里有多少人做了第二次消费","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0076","KEEP","BQ0076","1.0000","C0036","客户域","店长","query_cross","medium","none","9020129fdc817f42","coverage_representative","current_release_test","customer_consumption_profile","present","present","present","","买过敏感肌舒缓修护的客户平均消费多少","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0077","ROTATE","BQ0047","0.8947","C0024","客户域","店长","query_cross","medium","rolling_14d","5f903ba7a816f1e0","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_consumption_profile","present","present","present","","钻石会员里最近14天没到店的有多少人","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0078","ROTATE","BQ0048","0.8519","C0025","客户域","店长","query_cross","medium","none","9020129fdc817f42","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_consumption_profile","present","present","present","","哪些客户同时有储值余额和未用完的抗衰管理 6 次卡","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0079","ROTATE","BQ0049","0.8214","C0026","客户域","店长","query_cross","medium","natural_week+weekend","84ee422eca0cc0b7","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_consumption_profile","present","present","present","","办了抗衰管理 6 次卡但本周末没来的客户名单","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0080","KEEP","BQ0080","1.0000","C0037","客户域","店长","query_cross","medium","none","9020129fdc817f42","coverage_representative","current_release_test","customer_consumption_profile","present","present","present","","黄婉清都买过哪些项目和产品","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0081","ROTATE","BQ0051","0.9500","C0028","客户域","店长","query_cross","medium","natural_week+weekend","84ee422eca0cc0b7","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_consumption_profile","present","present","present","","本周末复购的客户主要做了什么项目","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0082","ROTATE","BQ0072","1.0000","C0034","客户域","店长","query_cross","medium","previous_month","7e9439e59c2379cd","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_consumption_profile","present","present","present","","上个月到店的客户里有哪些是金卡以上","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0083","ROTATE","BQ0073","1.0000","C0035","客户域","店长","query_cross","medium","previous_month","7e9439e59c2379cd","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_consumption_profile","present","present","present","","消费额Top10的客户上个月买过哪些项目","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0084","ROTATE","BQ0043","0.8400","C0020","客户域","店长","query_cross","medium","none","9020129fdc817f42","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_consumption_profile","present","present","present","","哪些客户的补水护理 10 次卡快到期还没预约","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0085","KEEP","BQ0085","1.0000","C0021","客户域","店长","query_cross","medium","today","6ec4c4abe93c49b8","coverage_representative","current_release_test","customer_consumption_profile","present","present","present","","今天新客里有多少人做了第二次消费","Customer×CustomerCard×ProductOrder","跨表组合"
"BQ0086","KEEP","BQ0086","1.0000","C0038","客户域","客服","analysis","medium","previous_week","c5d94ba73491136c","legacy_gate_required","current_release_test","customer_consumption_profile","present","present","present","","分析下上周的客户结构，各等级占比","客户画像分析",""
"BQ0087","KEEP","BQ0087","1.0000","C0039","客户域","客服","analysis","medium","previous_week","c5d94ba73491136c","coverage_representative","current_release_test","customer_consumption_profile","present","present","present","","上周新客和老客的消费金额对比","客户画像分析",""
"BQ0088","KEEP","BQ0088","1.0000","C0040","客户域","客服","analysis","medium","previous_week","c5d94ba73491136c","coverage_representative","current_release_test","customer_consumption_profile","present","present","present","","上周客户到店频次的分布","客户画像分析",""
"BQ0089","KEEP","BQ0089","1.0000","C0041","客户域","客服","analysis","medium","previous_week","c5d94ba73491136c","coverage_representative","current_release_test","customer_consumption_profile","present","present","present","","不同来源渠道的客户质量对比(上周)","客户画像分析",""
"BQ0090","KEEP","BQ0090","1.0000","C0042","客户域","客服","analysis","medium","yesterday+previous_week","e9d8e0189a7d7e79","coverage_representative","current_release_test","customer_consumption_profile","present","present","present","","客单价上周和昨天比是涨是跌","客户画像分析",""
"BQ0091","KEEP","BQ0091","1.0000","C0043","客户域","客服","analysis","medium","previous_week","c5d94ba73491136c","coverage_representative","current_release_test","customer_consumption_profile","present","present","present","","上周复购客户集中在哪些项目","客户画像分析",""
"BQ0092","KEEP","BQ0092","1.0000","C0044","客户域","客服","analysis","medium","none","04f00bcbb153f5ef","coverage_representative","current_release_test","customer_consumption_profile","present","present","present","","分析下高价值客户的共同特征","客户画像分析",""
"BQ0093","KEEP","BQ0093","1.0000","C0045","客户域","客服","analysis","medium","rolling_7d","272b598ada69e52b","coverage_representative","current_release_test","customer_consumption_profile","present","present","present","","金卡会员的消费贡献占比(最近7天)","客户画像分析",""
"BQ0094","KEEP","BQ0094","1.0000","C0046","客户域","客服","analysis","medium","rolling_7d","272b598ada69e52b","coverage_representative","current_release_test","customer_consumption_profile","present","present","present","","最近7天客户年龄段分布","客户画像分析",""
"BQ0095","ROTATE","BQ0086","1.0000","C0038","客户域","客服","analysis","medium","rolling_7d","272b598ada69e52b","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_consumption_profile","present","present","present","","分析下最近7天的客户结构，各等级占比","客户画像分析",""
"BQ0096","ROTATE","BQ0087","1.0000","C0039","客户域","客服","analysis","medium","rolling_7d","272b598ada69e52b","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_consumption_profile","present","present","present","","最近7天新客和老客的消费金额对比","客户画像分析",""
"BQ0097","ROTATE","BQ0088","1.0000","C0040","客户域","客服","analysis","medium","rolling_7d","272b598ada69e52b","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_consumption_profile","present","present","present","","最近7天客户到店频次的分布","客户画像分析",""
"BQ0098","ROTATE","BQ0089","1.0000","C0041","客户域","客服","analysis","medium","rolling_7d","272b598ada69e52b","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_consumption_profile","present","present","present","","不同来源渠道的客户质量对比(最近7天)","客户画像分析",""
