case_id,domain,type,reason
"BQ0415","员工域","advice","回答提供了详细的项目覆盖统计和培训建议，但未提供原始数据或数据来源，无法验证项目总数、覆盖状态及员工技能等事实。因此，无法确认其准确性。"
"BQ0464","商品域","query_single","回答提供了卡项明细，但未提供具体数据来源或标准数值，无法验证其准确性。仅凭描述无法确认是否与预期目标完全一致。"
"BQ0465","商品域","query_single","回答结构完整，但所有数值均为0或固定值，且未提供任何计算依据或数据来源。无法验证实收、退款、优惠、毛利、会员卡负债等数值的真实性，也无法确认排行、趋势、明细和诊断的准确性。因此，缺乏足够的证据来判定回答正确。"
"BQ0496","商品域","query_cross","答案声称项目服务次数为0，但未提供具体数据或计算依据，无法验证其准确性。仅引用项目订单明细服务次数，缺乏实际数值支撑，因此证据不足。"
"BQ0497","商品域","query_cross","答案提供了项目服务次数排行和总次数，但未提供具体计算过程或数据来源，无法验证数值准确性。且未明确说明是否基于Project×OrderItem×ProjectBomItem的关联，引用依据不足。"
"BQ0498","商品域","query_cross","答案提供了项目BOM明细，但未提供具体数值依据或引用来源，无法验证其准确性。"
"BQ0500","商品域","query_cross","答案结构符合跨表查询目标，但未提供具体数据来源或计算依据，无法验证数值准确性。"
"BQ0536","商品域","analysis","回答提供了项目排行和详细数据，但缺少标准答案或可验证的数值依据，无法确认数据准确性。"
"BQ0538","商品域","analysis","回答提供了项目服务次数排行和总数，但未提供具体数据来源或标准数值，无法验证其准确性。缺少逐题标准数值，无法判断是否完整或正确。"
"BQ0566","商品域","advice","回答提供了商品经营建议，但缺少标准答案或可验证的数值依据，无法确认数据准确性。"
"BQ0567","商品域","advice","回答提供了具体数值和排行，但未提供同店其他项目或上一周期的对比数据，无法验证是否‘卖不动’；且缺少标准数值依据，无法确认数据准确性。"
"BQ0611","商品域","risk","回答提供了具体数值和排行，但缺少标准答案或可验证的基准数据，无法确认数值准确性；且未提供同店其他项目或上一周期数据，无法验证风险判断。因此证据不足。"
"BQ0613","商品域","risk","回答声称基于管理端项目收入、耗材、提成与贡献毛利分析，但未提供具体数据或计算依据，无法验证毛利率低于30%且成本数据完整的项目数量及排行。缺少标准数值，无法判断正确性。"
"BQ0614","商品域","risk","回答提供了商品风险巡检明细，但缺少标准BOM、库存数据来源及计算依据，无法验证数值准确性。"
"BQ0616","商品域","risk","回答与商品风险巡检目标对齐，但缺少可验证的标准数值（如零销量阈值、风险判定规则），无法确认所列项目及状态是否准确，故证据不足。"
"BQ0621","交易域","query_single","回答声称过去3个月有效订单为228笔，但未提供具体查询语句或数据来源，无法验证数值准确性。"
"BQ0622","交易域","query_single","答案提供了实收金额数值和口径版本，但未提供具体数据来源表或查询依据，无法验证数值准确性。缺少标准答案或可核对的业务定义，无法判断完整性。"
"BQ0623","交易域","query_single","回答提供了大量数值，但无法验证其准确性，且缺少对数据来源和计算过程的说明。"
"BQ0625","交易域","query_single","答案声称退款笔数为32笔，但未提供任何计算过程或数据来源，且引用依据仅提及业务定义，未展示具体查询或标准数值，无法验证其准确性。"
"BQ0661","交易域","query_cross","无法验证答案中的具体数值和口径，缺少标准答案或数据源依据。"
"BQ0706","交易域","analysis","回答提供了对比数据，但缺少具体数据来源和计算依据，无法验证数值准确性。"
"BQ0707","交易域","analysis","答案提供了按日订单数趋势数据，但未提供交易分析所需的对比、异常识别或结论，且缺少可验证的标准数值，无法确认数据准确性。"
"BQ0708","交易域","analysis","答案仅给出客单价数值和口径版本，但未提供计算过程或数据来源，无法验证数值准确性。且引用仅一条业务定义，缺少具体数据依据，无法判断是否完整。因此证据不足。"
"BQ0709","交易域","analysis","答案提供了商品销售额排行和总额，但未提供具体计算过程或数据来源，无法验证数值准确性。缺少标准答案或业务定义细节，无法确认口径版本1的具体含义。因此证据不足，无法判定正确性。"
"BQ0710","交易域","analysis","回答提供了交易分析所需的汇总和明细，但缺少原始数据或数据来源的验证，无法确认数值的准确性。"
"BQ0748","交易域","risk","答案仅给出退款金额，未提供计算过程或数据来源，无法验证数值正确性；且未明确说明与交易风险巡检的关联，引用依据不足。"
"BQ0749","交易域","risk","答案提供了交易风险巡检所需的关键指标（实收、退款、优惠、毛利、支付方式排行、趋势、成本明细）和诊断，但缺少可验证的标准数值或数据来源，无法确认数值准确性；且趋势数据中大量日期实收为0，与实收总额179649.31元矛盾，无法核实。"
"BQ0752","交易域","risk","答案仅给出退款金额，未提供计算过程或数据来源，无法验证数值准确性；且未明确说明与交易风险巡检的具体关联，引用依据不足。"
"BQ0821","交易域","query_cross","答案提供了大量订单毛利明细，但未给出汇总或明确区分口径，且无法验证具体数值是否与标准数据一致。"
"BQ0823","交易域","query_cross","回答提供了大量核销记录，但缺少关键计算依据（如各卡项单价、折扣、分摊规则），且部分金额存在不一致（如补水护理10次卡有268和258两种金额，抗衰管理6次卡有613.33和596.67等），无法验证18724.14元总金额的准确性。同时，未提供数据来源或查询口径，无法确认是否区分了不同核销类型。"
"BQ0824","交易域","query_cross","回答正确区分了实收与确认收入口径，但未提供具体数值对比，且缺少可验证的逐题标准数值，无法确认数据准确性。"
"BQ0825","交易域","query_cross","答案提供了订单利润明细，但未给出计算依据或标准数值，无法验证其正确性。引用仅提及业务定义，缺乏具体数据来源，无法确认是否完整覆盖所有负毛利订单。"
"BQ0896","履约域","query_cross","无法验证答案中列出的预约记录是否与数据库中的实际数据一致，且未提供任何可核对的引用依据。"
"BQ0897","履约域","query_cross","回答列出了32条预约明细，但缺少标准答案中的第21至32条，且部分条目（如第25、32条）缺少预约备注，无法确认是否完全匹配。同时，回答未提供数据来源或引用依据，无法验证其准确性。"
"BQ0901","履约域","query_cross","答案仅给出一个项目及笔数，未提供完整排行，且未引用具体数据来源或标准数值，无法验证准确性。"
"BQ0937","履约域","risk","回答列出了99条待确认预约，但未提供标准答案或可验证的基准数据，无法核实数量及明细的准确性。"
"BQ0973","履约域","analysis","答案提供了项目服务次数排行和总次数，但未提供具体数据来源或计算过程，无法验证数值准确性。缺少业务定义和口径版本的具体说明，无法确认是否与预期目标完全一致。"
"BQ1039","履约域","advice","答案提供了客户排行和评分，但未说明具体计算依据或数据来源，无法验证评分100的准确性。缺少对履约优化建议的具体阐述，且引用仅提及业务定义，未提供可核查的标准数值或计算过程。"
"BQ1040","履约域","advice","答案提供了客户排行和评分，但未提供具体计算依据或数据来源，无法验证评分的正确性。缺少逐题标准数值，无法确认是否与预期目标完全对齐。"
"BQ1061","库存域","query_single","回答提供了库存汇总、排行、明细和诊断，但未提供具体数据来源或计算依据，无法验证数值准确性。"
"BQ1062","库存域","query_single","无法验证答案中列出的12个缺货产品及具体数值是否与数据库记录一致，缺少可核对的原始数据或标准答案。"
"BQ1064","库存域","query_single","回答提供了大量库存数据，但缺少与问题ID BQ1064对应的标准答案或验证依据，无法确认数值准确性。"
"BQ1096","库存域","query_cross","答案覆盖了目标实体（Product、StockMovement、ProjectBomItem）并提供了汇总、排行、明细和诊断，但缺少可验证的逐题标准数值，无法确认具体数字（如库存金额、SKU数、采购建议量等）是否准确。"
"BQ1098","库存域","query_cross","回答覆盖了目标实体（Product、StockMovement、ProjectBomItem）并提供了汇总和明细，但缺少逐题标准数值，无法验证库存金额、低库存SKU数、临期金额等具体数字的准确性，因此无法判定为完全正确。"
"BQ1099","库存域","query_cross","答案声称有1个商品低于安全库存，但未提供具体计算过程或数据来源，无法验证其准确性。且缺少对跨表查询（Product×StockMovement×ProjectBomItem）的明确引用，无法确认是否使用了正确的数据表。因此证据不足。"
"BQ1137","库存域","risk","回答列出了12个缺货产品及明细，但未提供具体数据来源或计算依据，无法验证缺货数量及明细的准确性。"
"BQ1138","库存域","risk","回答提供了库存风险巡检的排行，但缺少具体标准数值（如安全库存阈值、风险评分规则）和引用依据，无法验证排序正确性。"
"BQ1176","库存域","analysis","回答结构完整，但缺少具体数据来源和计算依据，无法验证库存金额、低库存SKU数、临期金额等关键数值的准确性。"
"BQ1177","库存域","analysis","答案结构完整，但无法验证计算数值（如0.36、531.20、1469.94）及排行数据是否基于给定数据，且未提供数据来源或计算过程，故无法判定事实正确性。"
"BQ1179","库存域","analysis","答案提供了排行和指标，但缺少具体数据来源或计算过程，无法验证数值准确性。"
"BQ1206","库存域","prediction","回答提供了库存汇总、排行和采购建议，但所有出库量均为0，可用天数均为'暂无'，且未提供任何历史销量或预测依据。无法验证预测的准确性，且缺少标准数值，因此证据不足。"
"BQ1207","库存域","prediction","无法验证缺货产品数量及明细，缺少标准数值依据。"
"BQ1208","库存域","prediction","答案仅给出采购建议，未提供销量/耗材预测的具体数值或计算依据，且缺少标准答案，无法验证预测准确性。"
"BQ1209","库存域","prediction","答案提供了销量/耗材预测的排行和采购建议，但未提供预测模型、时间范围或验证数据，且缺少逐题标准数值，无法核实准确性。"
"BQ1261","财务域","query_single","答案仅给出毛利数值，未提供计算过程或数据来源，且引用依据未具体说明，无法验证其正确性。"
"BQ1262","财务域","query_single","答案仅给出经营费用数值，但未提供计算过程或引用具体数据来源，无法验证数值准确性。引用依据仅提及业务定义，未包含具体数据表或字段，不足以支撑结论。"
"BQ1296","财务域","query_cross","答案仅给出经营利润数值，未展示计算过程或引用具体数据来源，无法验证是否等于经营利润×佣金比例。缺少标准数值和依据，无法判定正确性。"
"BQ1378","财务域","risk","无法验证答案中的数值（如实收、毛利、会员卡负债等）是否与问题BQ1378的预期目标一致，且缺少标准答案或数据源，无法判断完整性。"
"BQ1386","财务域","risk","答案仅声明未对平，但未提供具体数值或计算依据，且引用的指标未给出标准值，无法验证事实。"
"BQ1446","财务域","advice","回答提供了毛利和毛利率数值，但未提供计算过程或原始数据，无法验证数值准确性。引用依据仅为业务定义，缺乏具体数据来源，无法确认事实依据。"
"BQ1448","财务域","advice","回答提供了库存、采购、财务等数据，但缺少标准数值或基准，无法验证其准确性；且未给出明确的财务经营建议，仅罗列数据，故判定证据不足。"
"BQ1481","营销域","query_single","回答结构完整，但无法验证具体数值（如45人、6123人、696元等）是否与标准答案一致，且缺少逐题标准数值依据。"
"BQ1483","营销域","query_single","回答结构完整，但关键数值（如优先跟进45人、触达0人、转化0人等）无法从提供的引用中验证，且缺少标准答案或数据源，无法确认其准确性。"
"BQ1484","营销域","query_single","回答提供了客户跟进优先级、策略状态和客户分层摘要，但缺少触达、转化、归因收入等关键指标的具体数据，且未提供计算依据，无法验证数值准确性。"
"BQ1520","营销域","query_cross","回答结构完整，覆盖了目标对齐、跨表归因和触达数据，但缺少可验证的标准数值（如触达人数、转化率、归因收入等），无法确认其准确性。"
"BQ1524","营销域","query_cross","回答结构完整，覆盖了目标对齐的多个维度，但缺少可验证的逐题标准数值，无法确认具体数字的准确性，因此判定为证据不足。"
"BQ1562","营销域","analysis","回答结构完整，覆盖优先跟进客户、触达、转化、归因收入、策略状态及客户分层等目标，但缺少可验证的标准数值或数据源引用，无法核实具体数字（如45人、6123人、转化率0.0%等）的准确性，且未提供计算依据或数据来源，故判定证据不足。"
"BQ1564","营销域","analysis","回答结构完整，但关键数值（如触达6123人、转化0人、归因收入696元等）无法从提供的引用中验证，且缺少标准答案或数据源，无法确认准确性。"
"BQ1601","营销域","risk","答案结构完整，但关键数值（如触达6123人、转化0人、归因收入696元）无法从提供的引用中验证，且缺少标准答案或数据源。因此无法确认事实准确性，判定为证据不足。"
"BQ1634","营销域","advice","答案提供了客户排行和评分，但未给出具体依据或预期，且缺少可验证的标准数值，无法确认评分计算正确性。"
"BQ1702","营销域","prediction","答案提供了客户排名和评分，但未提供计算依据或数据来源，无法验证评分的正确性。缺少具体指标定义和计算过程，无法确认是否与预期目标一致。"
"BQ1703","营销域","prediction","回答结构完整，但关键数值（如优先跟进客户45人、触达0人、转化0人等）无法从提供的引用中验证，且缺少标准答案或数据源，无法确认其准确性。"
"BQ1721","供应链域","query_single","回答提供了供应商数量和明细，但未提供具体查询语句或数据来源，无法验证数值准确性。缺少逐题标准数值，无法判断完整性。"
"BQ1760","供应链域","query_cross","回答声称无数据，但未提供具体数值或标准依据，无法验证其准确性。"
"BQ1808","供应链域","advice","回答提供了库存采购建议，但缺少具体数据来源和计算依据，无法验证建议的准确性。"
"BQ1810","供应链域","advice","答案提供了采购建议，但缺少具体数据依据（如库存、安全库存、建议采购量的计算来源），无法验证数值准确性，且未提供候选供应商的完整信息。"
"BQ1844","行业域","query_single","回答结构符合目标，但所有员工数据均为0，且未提供任何计算依据或数据来源，无法验证其准确性。"
"BQ1883","行业域","advice","回答提供了员工复购率排行，但所有数值均为0，且未提供具体计算依据或原始数据。无法验证这些数值是否准确，也无法确认是否与行业对标建议相关。缺少必要的证据来支持结论。"
