case_id,domain,type,reason
"BQ0184","客户域","prediction","回答正确识别了目标CustomerPredictionSnapshot，并指出因同名客户需确认身份而未返回预测值，符合预期目标。但无法验证批次#80、5位同名客户及手机号等具体数据，且未提供预测值，故证据不足。"
"BQ0185","客户域","prediction","答案结构完整且对齐预测目标，但无法验证批次#80、评分值及客户明细等事实，缺少可核对的基准数据。"
"BQ0241","员工域","query_single","无法验证答案中列出的6名在职美容师及其职级是否与员工目录、排班和请假事实一致，因为未提供具体数据源或逐题标准数值。答案虽与目标表对齐，但缺少可核实的依据，因此证据不足。"
"BQ0242","员工域","query_single","回答仅给出员工姓名和职级，未提供排班、请假等具体数据，且未引用任何数据表或记录，无法验证其准确性。"
"BQ0243","员工域","query_single","无法验证排班数据的准确性，因为缺少标准数据源或逐条核对依据。"
"BQ0244","员工域","query_single","答案提供了排班计数，但未提供具体数据来源或计算过程，无法验证数值准确性。且缺少项目信息，可能不完整。"
"BQ0276","员工域","query_cross","答案声称顾然服务客户数为0，但未提供任何具体数据或计算依据，无法验证其准确性。缺少必要的员工服务客户事实数据，无法判断是否完整或正确。"
"BQ0277","员工域","query_cross","答案提供了排行但所有业绩实收均为0.00，且未提供具体数值依据或计算过程，无法验证数据真实性。引用依据仅提及业务定义，未提供具体数据来源，无法确认是否完整覆盖所有员工或正确计算。因此证据不足。"
"BQ0278","员工域","query_cross","答案声称所有6位美容师提成均为0.00元，但未提供任何具体数据或计算依据，无法验证其准确性。引用仅提及业务定义和分析，未包含实际数值来源，因此证据不足。"
"BQ0295","员工域","query_cross","答案提供了员工业绩实收排行，但未给出具体计算依据或数据来源，无法验证数值准确性。引用仅提及业务定义，未提供可核查的明细数据，因此证据不足。"
"BQ0304","员工域","query_cross","答案提供了员工业绩排行，但未提供具体计算过程或引用数据来源，无法验证数值准确性。且引用依据仅提及业务定义，未展示具体数据表或计算逻辑，无法确认是否基于真实数据。因此证据不足。"
"BQ0316","员工域","analysis","答案提供了员工排行，但所有指标均为0，且未提供具体数值依据或计算过程，无法验证其正确性。"
"BQ0317","员工域","analysis","回答结构完整，目标对齐人效分析，但缺少具体数据来源和计算依据，无法验证数值准确性。"
"BQ0318","员工域","analysis","回答声称无数据可排行，但未提供具体数值或标准，无法验证其准确性。"
"BQ0320","员工域","analysis","答案声称基于员工职级与提成来源业绩实收聚合事实，但未提供具体数据来源或计算过程，无法验证业绩实收均为0.00的准确性，且缺少对员工总数、时间范围等关键信息的说明。"
"BQ0336","员工域","analysis","答案声称基于员工职级与提成来源业绩实收聚合事实，但未提供具体数据来源或计算过程，无法验证排行数值的准确性。缺少逐题标准数值，无法确认业绩实收均为0.00及员工数量的正确性。"
"BQ0352","员工域","risk","答案未提供具体数值或计算依据，无法验证服务次数是否真实为零，且引用来源未给出具体数据，无法确认事实准确性。"
"BQ0353","员工域","risk","答案列出了6名员工业绩实收为0，但未提供具体数值依据或数据来源，无法验证是否完整覆盖所有员工或符合风险巡检目标。引用依据仅提及业务定义，缺乏可核实的标准数值。"
"BQ0354","员工域","risk","回答提供了员工业绩实收排行，但未提供具体数据来源或计算过程，且缺少标准数值，无法验证其准确性。"
"BQ0356","员工域","risk","答案提供了项目覆盖统计和明细，但缺少标准数值或可验证的基准数据，无法确认统计的准确性。"
"BQ0411","员工域","advice","答案提供了业绩变化数据，但服务次数和独立客户数均为0，与业绩数据矛盾，且未提供具体标准数值或数据来源，无法验证事实准确性。"
"BQ0412","员工域","advice","回答提供了员工排名和指标，但未给出具体的人力经营建议，且缺少可验证的标准数值，无法确认数据准确性。"
