id,role,section,question,supportClass,supportLabel,managementSupport,backendSupport,reason,expectedView,evalStatus,failureCategory,candidateViews,selectedViews,totalMs,answerSummary
manager-023,一、店长经营 Agent,客户管理,我们店里的 VIP 客户有多少个,ask_query_low_confidence,Ask 低置信候选并实测,partial,supported,属于经营数据查询，但需要低置信度语义模型选择候选或补足指标。,ask_data_customer_profile_summary_view,pass,,ask_data_customer_profile_summary_view,ask_data_customer_profile_summary_view,15371,已查询到 1 条结果，首条为 vip_customer_count=0。
manager-024,一、店长经营 Agent,客户管理,哪些客户卡里的次数快用完了还没约,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台有相关业务数据，但当前 34 个 Ask 视图缺少可直接回答该问题的治理字段或组合口径。,,not_executed,,,,,
manager-025,一、店长经营 Agent,客户管理,最近有没有客户投诉或者表达不满,ask_query_supported,Ask 明确支持并实测,supported,supported,命中已治理指标和 34 视图，可进入真实 SQL 链路评测。,ask_data_customer_feedback_view,pass,,ask_data_customer_feedback_view,ask_data_customer_feedback_view,21304,已查询到 1 条结果，首条为 dissatisfied_feedback_count=0。
manager-026,一、店长经营 Agent,客户管理,这个月流失了多少客户，主要是什么原因,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台有相关业务数据，但当前 34 个 Ask 视图缺少可直接回答该问题的治理字段或组合口径。,,not_executed,,,,,
manager-027,一、店长经营 Agent,客户管理,哪些客户是高价值但最近不太活跃的,clarification_required,需要补充实体、阈值或上下文,supported,supported,问题使用了未治理的金额、折扣或判断阈值，需要先确认具体口径。,,not_executed,,,,,
manager-028,一、店长经营 Agent,客户管理,帮我看一下今天到店客人的画像，主要是什么年龄段,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,partial,unknown,当前问题未命中 Ask 指标合同，需由具体业务模块或 Ami Brain 承接。,,not_executed,,,,,
manager-029,一、店长经营 Agent,客户管理,我们的老客回头率大概是多少,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台已有相关业务入口，但当前 34 个 Ask 视图未开放该字段或实时状态。,,not_executed,,,,,
manager-030,一、店长经营 Agent,客户管理,有没有哪些客户快到生日了可以做关怀,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台已有相关业务入口，但当前 34 个 Ask 视图未开放该字段或实时状态。,,not_executed,,,,,
manager-031,一、店长经营 Agent,客户管理,帮我找一下三个月没来消费的客户,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台有相关业务数据，但当前 34 个 Ask 视图缺少可直接回答该问题的治理字段或组合口径。,,not_executed,,,,,
manager-032,一、店长经营 Agent,客户管理,哪些客户消费了钱但很少用次卡,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台有相关业务数据，但当前 34 个 Ask 视图缺少可直接回答该问题的治理字段或组合口径。,,not_executed,,,,,
manager-033,一、店长经营 Agent,客户管理,最近有没有客户因为等待时间长而离开,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台已有相关业务入口，但当前 34 个 Ask 视图未开放该字段或实时状态。,,not_executed,,,,,
manager-034,一、店长经营 Agent,客户管理,我们有多少客户开了次卡但从来不来消费,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台已有相关业务入口，但当前 34 个 Ask 视图未开放该字段或实时状态。,agent_v3_card_asset_view,not_executed,,,,,
manager-035,一、店长经营 Agent,客户管理,今天有没有重要客户来店，需要特别关注的,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台有相关业务数据，但当前 34 个 Ask 视图缺少可直接回答该问题的治理字段或组合口径。,,not_executed,,,,,
manager-036,一、店长经营 Agent,客户管理,哪些沉睡客户最近有点被唤醒的迹象,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台已有相关业务入口，但当前 34 个 Ask 视图未开放该字段或实时状态。,ask_data_customer_lifecycle_view,not_executed,,,,,
manager-037,一、店长经营 Agent,客户管理,帮我看一下客户满意度整体情况,ask_query_supported,Ask 明确支持并实测,supported,supported,命中已治理指标和 34 视图，可进入真实 SQL 链路评测。,ask_data_customer_feedback_view,pass,,ask_data_customer_feedback_view,ask_data_customer_feedback_view,13825,已查询到 1 条结果，首条为 feedback_count=0、average_rating=-、low_rating_count=0。
manager-038,一、店长经营 Agent,客户管理,这个月新客主要来自什么渠道,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,partial,unknown,当前问题未命中 Ask 指标合同，需由具体业务模块或 Ami Brain 承接。,,not_executed,,,,,
manager-039,一、店长经营 Agent,客户管理,老客户平均多久回来一次,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台有相关业务数据，但当前 34 个 Ask 视图缺少可直接回答该问题的治理字段或组合口径。,,not_executed,,,,,
manager-040,一、店长经营 Agent,客户管理,哪些客户最近消费频率明显下降,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台已有相关业务入口，但当前 34 个 Ask 视图未开放该字段或实时状态。,ask_data_customer_lifecycle_view,not_executed,,,,,
manager-041,一、店长经营 Agent,员工管理,这个月谁的业绩最好,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,partial,unknown,当前问题未命中 Ask 指标合同，需由具体业务模块或 Ami Brain 承接。,,not_executed,,,,,
manager-042,一、店长经营 Agent,员工管理,哪个美容师接的客人最多,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,partial,unknown,当前问题未命中 Ask 指标合同，需由具体业务模块或 Ami Brain 承接。,,not_executed,,,,,
manager-043,一、店长经营 Agent,员工管理,谁的客户复购率最高,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台已有相关业务入口，但当前 34 个 Ask 视图未开放该字段或实时状态。,,not_executed,,,,,
manager-044,一、店长经营 Agent,员工管理,有没有员工这周业绩明显下滑,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台已有相关业务入口，但当前 34 个 Ask 视图未开放该字段或实时状态。,ask_data_staff_performance_view,not_executed,,,,,
manager-045,一、店长经营 Agent,员工管理,这个月提成最高的是谁，大概多少,ask_query_supported,Ask 明确支持并实测,supported,supported,命中已治理指标和 34 视图，可进入真实 SQL 链路评测。,ask_data_staff_performance_view,pass,,ask_data_staff_performance_view,ask_data_staff_performance_view,8937,当前筛选范围内没有匹配数据。
manager-046,一、店长经营 Agent,员工管理,各美容师今天的排班情况，有没有空档,ask_query_supported,Ask 明确支持并实测,supported,supported,命中已治理指标和 34 视图，可进入真实 SQL 链路评测。,ask_data_staff_capacity_view,pass,,ask_data_staff_capacity_view,ask_data_staff_capacity_view,9006,当前筛选范围内没有匹配数据。
manager-047,一、店长经营 Agent,员工管理,今天谁请假了，有没有影响接待,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台有相关业务数据，但当前 34 个 Ask 视图缺少可直接回答该问题的治理字段或组合口径。,,not_executed,,,,,
manager-048,一、店长经营 Agent,员工管理,哪个美容师的客诉最多，最近有没有,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台有相关业务数据，但当前 34 个 Ask 视图缺少可直接回答该问题的治理字段或组合口径。,,not_executed,,,,,
manager-049,一、店长经营 Agent,员工管理,新员工试用期表现怎么样,admin_backend_unsupported,管理端/后台暂无结构化闭环,unsupported,unsupported,当前管理端和后台没有形成可供 Ami Ask 查询的结构化事实闭环。,,not_executed,,,,,
manager-050,一、店长经营 Agent,员工管理,帮我看一下各美容师的服务次数对比,ask_query_supported,Ask 明确支持并实测,supported,supported,命中已治理指标和 34 视图，可进入真实 SQL 链路评测。,ask_data_staff_performance_view,clarification,clarification,agent_v3_project_service_sales_view,,11976,
manager-051,一、店长经营 Agent,员工管理,今天谁服务了几个客人,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台有相关业务数据，但当前 34 个 Ask 视图缺少可直接回答该问题的治理字段或组合口径。,,not_executed,,,,,
manager-052,一、店长经营 Agent,员工管理,哪个员工这个月进步最快,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台有相关业务数据，但当前 34 个 Ask 视图缺少可直接回答该问题的治理字段或组合口径。,,not_executed,,,,,
manager-053,一、店长经营 Agent,员工管理,有没有员工最近很长时间没有新客了,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台有相关业务数据，但当前 34 个 Ask 视图缺少可直接回答该问题的治理字段或组合口径。,,not_executed,,,,,
manager-054,一、店长经营 Agent,员工管理,本月员工总提成大概多少,ask_query_supported,Ask 明确支持并实测,supported,supported,命中已治理指标和 34 视图，可进入真实 SQL 链路评测。,ask_data_staff_performance_view,pass,,ask_data_staff_performance_view,ask_data_staff_performance_view,11053,已查询到 1 条结果，首条为 total_commission_amount=-。
manager-055,一、店长经营 Agent,员工管理,哪个美容师擅长的项目客户最满意,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台有相关业务数据，但当前 34 个 Ask 视图缺少可直接回答该问题的治理字段或组合口径。,,not_executed,,,,,
manager-056,一、店长经营 Agent,员工管理,有没有员工到期转正需要我处理,admin_backend_unsupported,管理端/后台暂无结构化闭环,unsupported,unsupported,当前管理端和后台没有形成可供 Ami Ask 查询的结构化事实闭环。,,not_executed,,,,,
manager-057,一、店长经营 Agent,员工管理,最近有没有员工出现迟到早退,admin_backend_unsupported,管理端/后台暂无结构化闭环,unsupported,unsupported,当前管理端和后台没有形成可供 Ami Ask 查询的结构化事实闭环。,,not_executed,,,,,
manager-058,一、店长经营 Agent,员工管理,哪个美容师的升单能力最强,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台已有相关业务入口，但当前 34 个 Ask 视图未开放该字段或实时状态。,,not_executed,,,,,
manager-059,一、店长经营 Agent,员工管理,帮我看一下员工这周的工作饱和度,ask_query_low_confidence,Ask 低置信候选并实测,partial,supported,属于经营数据查询，但需要低置信度语义模型选择候选或补足指标。,ask_data_staff_capacity_view,expected_view_miss,candidate_selector_miss,agent_v3_service_quality_view,agent_v3_service_quality_view,20808,当前筛选范围内没有匹配数据。
manager-060,一、店长经营 Agent,员工管理,有没有员工的客户被别的美容师挖走的迹象,admin_backend_unsupported,管理端/后台暂无结构化闭环,unsupported,unsupported,当前管理端和后台没有形成可供 Ami Ask 查询的结构化事实闭环。,,not_executed,,,,,
manager-061,一、店长经营 Agent,库存运营,现在哪些产品库存不够了,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台有相关业务数据，但当前 34 个 Ask 视图缺少可直接回答该问题的治理字段或组合口径。,,not_executed,,,,,
manager-062,一、店长经营 Agent,库存运营,有没有快过期的产品，数量多少,ask_query_low_confidence,Ask 低置信候选并实测,partial,supported,属于经营数据查询，但需要低置信度语义模型选择候选或补足指标。,agent_v3_product_inventory_view,clarification,semantic_clarification,agent_v3_card_asset_view,,4007,
manager-063,一、店长经营 Agent,库存运营,这个月耗材用了多少，正常吗,brain_content_or_advice,策划、诊断或内容生成，适合 Ami Brain,partial,partial,问题要求方案、内容生成、因果诊断或建议，不是只读 SQL 能独立证明的事实。,agent_v3_stock_movement_view,not_executed,,,,,
manager-064,一、店长经营 Agent,库存运营,最近卖得最好的产品是什么,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,partial,unknown,当前问题未命中 Ask 指标合同，需由具体业务模块或 Ami Brain 承接。,,not_executed,,,,,
manager-065,一、店长经营 Agent,库存运营,有什么产品积压太久了,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,partial,unknown,当前问题未命中 Ask 指标合同，需由具体业务模块或 Ami Brain 承接。,,not_executed,,,,,
manager-066,一、店长经营 Agent,库存运营,下次采购需要补什么货,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,partial,unknown,当前问题未命中 Ask 指标合同，需由具体业务模块或 Ami Brain 承接。,,not_executed,,,,,
manager-067,一、店长经营 Agent,库存运营,现在库存金额大概多少,ask_query_supported,Ask 明确支持并实测,supported,supported,命中已治理指标和 34 视图，可进入真实 SQL 链路评测。,agent_v3_product_inventory_view,pass,,agent_v3_product_inventory_view,agent_v3_product_inventory_view,7937,已查询到 1 条结果，首条为 inventory_on_hand=263308.310000000000037000000000000000000。
manager-068,一、店长经营 Agent,库存运营,有没有哪个项目因为缺耗材没法做,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台有相关业务数据，但当前 34 个 Ask 视图缺少可直接回答该问题的治理字段或组合口径。,,not_executed,,,,,
manager-069,一、店长经营 Agent,库存运营,这个月产品销售额是多少,ask_query_low_confidence,Ask 低置信候选并实测,partial,supported,属于经营数据查询，但需要低置信度语义模型选择候选或补足指标。,agent_v3_order_item_sales_view,pass,,agent_v3_order_item_sales_view,agent_v3_order_item_sales_view,17112,本月产品销售额数据无法判断。
manager-070,一、店长经营 Agent,库存运营,最近采购了什么，花了多少钱,ask_query_low_confidence,Ask 低置信候选并实测,partial,supported,属于经营数据查询，但需要低置信度语义模型选择候选或补足指标。,agent_v3_purchase_procurement_view,pass,,agent_v3_purchase_procurement_view,agent_v3_purchase_procurement_view,11049,当前筛选范围内没有匹配数据。
manager-071,一、店长经营 Agent,库存运营,有没有产品快断货但还没采购的,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台有相关业务数据，但当前 34 个 Ask 视图缺少可直接回答该问题的治理字段或组合口径。,,not_executed,,,,,
manager-072,一、店长经营 Agent,库存运营,临期产品怎么处理比较好,brain_content_or_advice,策划、诊断或内容生成，适合 Ami Brain,partial,partial,问题要求方案、内容生成、因果诊断或建议，不是只读 SQL 能独立证明的事实。,agent_v3_product_inventory_view,not_executed,,,,,
manager-073,一、店长经营 Agent,库存运营,哪些耗材消耗速度最快,ask_query_supported,Ask 明确支持并实测,supported,supported,命中已治理指标和 34 视图，可进入真实 SQL 链路评测。,agent_v3_stock_movement_view,pass,,agent_v3_stock_movement_view,agent_v3_stock_movement_view,12729,已查询到 21 条结果，首条为 product_id=132、product_name=亮肤软膜粉、sku=IND-6-STD-MASK-BRIGHTENING-001。
manager-074,一、店长经营 Agent,库存运营,现在仓库里护肤品还有多少,ask_query_low_confidence,Ask 低置信候选并实测,partial,supported,属于经营数据查询，但需要低置信度语义模型选择候选或补足指标。,agent_v3_product_inventory_view,pass,,agent_v3_product_inventory_view,agent_v3_product_inventory_view,17196,已查询到 1 条结果，首条为 inventory_on_hand=3207.750000000000000000000000000000。
manager-075,一、店长经营 Agent,库存运营,有没有产品卖出去的价格低于成本的,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台有相关业务数据，但当前 34 个 Ask 视图缺少可直接回答该问题的治理字段或组合口径。,,not_executed,,,,,
manager-076,一、店长经营 Agent,库存运营,最近有没有收到供应商的涨价通知,admin_backend_unsupported,管理端/后台暂无结构化闭环,unsupported,unsupported,当前管理端和后台没有形成可供 Ami Ask 查询的结构化事实闭环。,,not_executed,,,,,
manager-077,一、店长经营 Agent,库存运营,这个月退货了多少，原因是什么,brain_content_or_advice,策划、诊断或内容生成，适合 Ami Brain,partial,partial,问题要求方案、内容生成、因果诊断或建议，不是只读 SQL 能独立证明的事实。,,not_executed,,,,,
manager-078,一、店长经营 Agent,库存运营,哪些产品毛利率最高,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台已有相关业务入口，但当前 34 个 Ask 视图未开放该字段或实时状态。,ask_data_confirmed_profit_view,not_executed,,,,,
manager-079,一、店长经营 Agent,库存运营,库存的周转率怎么样,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台有相关业务数据，但当前 34 个 Ask 视图缺少可直接回答该问题的治理字段或组合口径。,,not_executed,,,,,
manager-080,一、店长经营 Agent,库存运营,帮我生成一份补货建议,brain_content_or_advice,策划、诊断或内容生成，适合 Ami Brain,partial,partial,问题要求方案、内容生成、因果诊断或建议，不是只读 SQL 能独立证明的事实。,,not_executed,,,,,
manager-081,一、店长经营 Agent,风险预警,今天有没有什么需要我特别注意的风险,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台有相关业务数据，但当前 34 个 Ask 视图缺少可直接回答该问题的治理字段或组合口径。,,not_executed,,,,,
manager-082,一、店长经营 Agent,风险预警,最近有没有现金流异常的情况,admin_backend_unsupported,管理端/后台暂无结构化闭环,unsupported,unsupported,当前管理端和后台没有形成可供 Ami Ask 查询的结构化事实闭环。,,not_executed,,,,,
manager-083,一、店长经营 Agent,风险预警,这周预约爽约率高不高,ask_query_low_confidence,Ask 低置信候选并实测,partial,supported,属于经营数据查询，但需要低置信度语义模型选择候选或补足指标。,agent_v3_reservation_view,pass,,agent_v3_reservation_view,agent_v3_reservation_view,18949,已查询到 1 条结果，首条为 no_show_rate_pct=-。
manager-084,一、店长经营 Agent,风险预警,有没有大额异常退款我不知道的,clarification_required,需要补充实体、阈值或上下文,supported,supported,问题使用了未治理的金额、折扣或判断阈值，需要先确认具体口径。,agent_v3_payment_refund_view,not_executed,,,,,
manager-085,一、店长经营 Agent,风险预警,店里设备最近有没有什么问题,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台已有相关业务入口，但当前 34 个 Ask 视图未开放该字段或实时状态。,,not_executed,,,,,
manager-086,一、店长经营 Agent,风险预警,今天有没有超时服务影响了下一个预约,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台已有相关业务入口，但当前 34 个 Ask 视图未开放该字段或实时状态。,agent_v3_service_quality_view,not_executed,,,,,
manager-087,一、店长经营 Agent,风险预警,最近折扣幅度有没有超出正常范围的,clarification_required,需要补充实体、阈值或上下文,supported,supported,问题使用了未治理的金额、折扣或判断阈值，需要先确认具体口径。,agent_v3_promotion_offer_view,not_executed,,,,,
manager-088,一、店长经营 Agent,风险预警,有没有员工在没有授权的情况下给了额外优惠,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台已有相关业务入口，但当前 34 个 Ask 视图未开放该字段或实时状态。,,not_executed,,,,,
manager-089,一、店长经营 Agent,风险预警,这个月利润率下降原因是什么,brain_content_or_advice,策划、诊断或内容生成，适合 Ami Brain,partial,partial,问题要求方案、内容生成、因果诊断或建议，不是只读 SQL 能独立证明的事实。,,not_executed,,,,,
manager-090,一、店长经营 Agent,风险预警,有没有客户最近投诉了但我还没处理,ask_query_supported,Ask 明确支持并实测,supported,supported,命中已治理指标和 34 视图，可进入真实 SQL 链路评测。,ask_data_customer_feedback_view,pass,,ask_data_customer_feedback_view,ask_data_customer_feedback_view,17615,当前筛选范围内没有匹配数据。
manager-091,一、店长经营 Agent,风险预警,最近储值卡提现风险高不高,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,partial,unknown,当前问题未命中 Ask 指标合同，需由具体业务模块或 Ami Brain 承接。,,not_executed,,,,,
manager-092,一、店长经营 Agent,风险预警,有没有次卡即将过期但客户还有很多余量,ask_query_supported,Ask 明确支持并实测,supported,supported,命中已治理指标和 34 视图，可进入真实 SQL 链路评测。,agent_v3_card_asset_view,pass,,agent_v3_card_asset_view,agent_v3_card_asset_view,25639,已查询到 1 条结果，首条为 expiring_card_assets_with_remaining_balance=0。
manager-093,一、店长经营 Agent,风险预警,今天有没有超过接待能力的情况,ask_query_low_confidence,Ask 低置信候选并实测,partial,supported,属于经营数据查询，但需要低置信度语义模型选择候选或补足指标。,ask_data_staff_capacity_view,expected_view_miss,candidate_selector_miss,agent_v3_reservation_view,agent_v3_reservation_view,26143,已查询到 1 条结果，首条为 active_reservation_count=0。
manager-094,一、店长经营 Agent,风险预警,最近某个美容师的客户流失率异常高吗,clarification_required,需要补充实体、阈值或上下文,supported,supported,缺少可唯一定位的客户、项目、商品、预约或交易对象。,,not_executed,,,,,
manager-095,一、店长经营 Agent,风险预警,有没有项目成本明显上涨影响毛利的,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台有相关业务数据，但当前 34 个 Ask 视图缺少可直接回答该问题的治理字段或组合口径。,,not_executed,,,,,
manager-096,一、店长经营 Agent,风险预警,最近有没有出现服务事故或皮肤过敏的情况,ask_sensitive_boundary,敏感字段禁止查询,partial,supported,涉及 Ask 不开放的个人敏感、健康或内部备注字段。,,not_executed,,,,,
