id,domain,role,type,difficulty,question,expected_target,notes
BQ0080,客户域,店长,query_cross,medium,黄婉清都买过哪些项目和产品,Customer×CustomerCard×ProductOrder,跨表组合
BQ0081,客户域,店长,query_cross,medium,本周末复购的客户主要做了什么项目,Customer×CustomerCard×ProductOrder,跨表组合
BQ0082,客户域,店长,query_cross,medium,上个月到店的客户里有哪些是金卡以上,Customer×CustomerCard×ProductOrder,跨表组合
BQ0083,客户域,店长,query_cross,medium,消费额Top10的客户上个月买过哪些项目,Customer×CustomerCard×ProductOrder,跨表组合
BQ0084,客户域,店长,query_cross,medium,哪些客户的补水护理 10 次卡快到期还没预约,Customer×CustomerCard×ProductOrder,跨表组合
BQ0085,客户域,店长,query_cross,medium,今天新客里有多少人做了第二次消费,Customer×CustomerCard×ProductOrder,跨表组合
BQ0086,客户域,客服,analysis,medium,分析下上周的客户结构，各等级占比,客户画像分析,
BQ0087,客户域,客服,analysis,medium,上周新客和老客的消费金额对比,客户画像分析,
BQ0088,客户域,客服,analysis,medium,上周客户到店频次的分布,客户画像分析,
BQ0089,客户域,客服,analysis,medium,不同来源渠道的客户质量对比(上周),客户画像分析,
BQ0090,客户域,客服,analysis,medium,客单价上周和昨天比是涨是跌,客户画像分析,
BQ0091,客户域,客服,analysis,medium,上周复购客户集中在哪些项目,客户画像分析,
BQ0092,客户域,客服,analysis,medium,分析下高价值客户的共同特征,客户画像分析,
BQ0093,客户域,客服,analysis,medium,金卡会员的消费贡献占比(最近7天),客户画像分析,
BQ0094,客户域,客服,analysis,medium,最近7天客户年龄段分布,客户画像分析,
BQ0095,客户域,客服,analysis,medium,分析下最近7天的客户结构，各等级占比,客户画像分析,
BQ0096,客户域,客服,analysis,medium,最近7天新客和老客的消费金额对比,客户画像分析,
BQ0097,客户域,客服,analysis,medium,最近7天客户到店频次的分布,客户画像分析,
BQ0098,客户域,客服,analysis,medium,不同来源渠道的客户质量对比(最近7天),客户画像分析,
BQ0099,客户域,客服,analysis,medium,客单价最近7天和最近三个月比是涨是跌,客户画像分析,
BQ0100,客户域,客服,analysis,medium,最近7天复购客户集中在哪些项目,客户画像分析,
BQ0101,客户域,客服,analysis,medium,钻石会员的消费贡献占比(今年),客户画像分析,
BQ0102,客户域,客服,analysis,medium,今年客户年龄段分布,客户画像分析,
BQ0103,客户域,客服,analysis,medium,分析下今年的客户结构，各等级占比,客户画像分析,
BQ0104,客户域,客服,analysis,medium,今年新客和老客的消费金额对比,客户画像分析,
BQ0105,客户域,客服,analysis,medium,今年客户到店频次的分布,客户画像分析,
BQ0106,客户域,客服,analysis,medium,不同来源渠道的客户质量对比(今年),客户画像分析,
BQ0107,客户域,客服,analysis,medium,客单价今年和国庆期间比是涨是跌,客户画像分析,
BQ0108,客户域,客服,analysis,medium,今年复购客户集中在哪些项目,客户画像分析,
BQ0109,客户域,客服,analysis,medium,金卡会员的消费贡献占比(本周末),客户画像分析,
BQ0110,客户域,客服,analysis,medium,本周末客户年龄段分布,客户画像分析,
BQ0111,客户域,客服,analysis,medium,分析下本周末的客户结构，各等级占比,客户画像分析,
BQ0112,客户域,客服,analysis,medium,本周末新客和老客的消费金额对比,客户画像分析,
BQ0113,客户域,客服,analysis,medium,本周末客户到店频次的分布,客户画像分析,
BQ0114,客户域,客服,analysis,medium,不同来源渠道的客户质量对比(本周末),客户画像分析,
BQ0115,客户域,客服,analysis,medium,客单价本周末和本周比是涨是跌,客户画像分析,
BQ0116,客户域,客服,analysis,medium,本周末复购客户集中在哪些项目,客户画像分析,
BQ0117,客户域,客服,analysis,medium,钻石会员的消费贡献占比(国庆期间),客户画像分析,
BQ0118,客户域,客服,analysis,medium,国庆期间客户年龄段分布,客户画像分析,
BQ0119,客户域,客服,analysis,medium,分析下国庆期间的客户结构，各等级占比,客户画像分析,
BQ0120,客户域,客服,analysis,medium,国庆期间新客和老客的消费金额对比,客户画像分析,
BQ0121,客户域,客服,risk,medium,有哪些高价值客户最近7天都没来了,客户风险巡检,风险提示
BQ0122,客户域,客服,risk,medium,哪些客户的储值余额异常偏高,客户风险巡检,风险提示
BQ0123,客户域,客服,risk,medium,帮我找出今年可能流失的重要客户,客户风险巡检,风险提示
BQ0124,客户域,客服,risk,medium,钻石会员里有没有该关注的沉睡客户,客户风险巡检,风险提示
BQ0125,客户域,客服,risk,medium,哪些客户的补水护理 10 次卡快到期但剩余次数还很多,客户风险巡检,风险提示
BQ0126,客户域,客服,risk,medium,去年同期生日的重要客户有哪些,客户风险巡检,风险提示
BQ0127,客户域,客服,risk,medium,有没有客户消费骤降需要关注,客户风险巡检,风险提示
BQ0128,客户域,客服,risk,medium,哪些客户投诉或体验不佳需要跟进,客户风险巡检,风险提示
BQ0129,客户域,客服,risk,medium,有哪些高价值客户今年都没来了,客户风险巡检,风险提示
BQ0130,客户域,客服,risk,medium,帮我找出本周末可能流失的重要客户,客户风险巡检,风险提示
BQ0131,客户域,客服,risk,medium,金卡会员里有没有该关注的沉睡客户,客户风险巡检,风险提示
BQ0132,客户域,客服,risk,medium,哪些客户的综合养护 20 次卡快到期但剩余次数还很多,客户风险巡检,风险提示
BQ0133,客户域,客服,risk,medium,五一假期生日的重要客户有哪些,客户风险巡检,风险提示
BQ0134,客户域,客服,risk,medium,有哪些高价值客户本周末都没来了,客户风险巡检,风险提示
BQ0135,客户域,客服,risk,medium,帮我找出国庆期间可能流失的重要客户,客户风险巡检,风险提示
BQ0136,客户域,客服,risk,medium,哪些客户的敏感修护 8 次卡快到期但剩余次数还很多,客户风险巡检,风险提示
BQ0137,客户域,客服,risk,medium,开业至今生日的重要客户有哪些,客户风险巡检,风险提示
BQ0138,客户域,客服,risk,medium,有哪些高价值客户国庆期间都没来了,客户风险巡检,风险提示
BQ0139,客户域,客服,risk,medium,帮我找出这半年可能流失的重要客户,客户风险巡检,风险提示
BQ0140,客户域,客服,risk,medium,哪些客户的焕肤清洁 12 次卡快到期但剩余次数还很多,客户风险巡检,风险提示
BQ0141,客户域,客服,risk,medium,春节期间生日的重要客户有哪些,客户风险巡检,风险提示
BQ0142,客户域,客服,risk,medium,有哪些高价值客户这半年都没来了,客户风险巡检,风险提示
BQ0143,客户域,客服,risk,medium,帮我找出昨天可能流失的重要客户,客户风险巡检,风险提示
BQ0144,客户域,客服,risk,medium,哪些客户的抗衰管理 6 次卡快到期但剩余次数还很多,客户风险巡检,风险提示
BQ0145,客户域,客服,risk,medium,本周生日的重要客户有哪些,客户风险巡检,风险提示
BQ0146,客户域,客服,risk,medium,有哪些高价值客户昨天都没来了,客户风险巡检,风险提示
BQ0147,客户域,客服,risk,medium,帮我找出本月可能流失的重要客户,客户风险巡检,风险提示
BQ0148,客户域,客服,risk,medium,上个月生日的重要客户有哪些,客户风险巡检,风险提示
BQ0149,客户域,客服,risk,medium,有哪些高价值客户本月都没来了,客户风险巡检,风险提示
BQ0150,客户域,客服,risk,medium,帮我找出最近30天可能流失的重要客户,客户风险巡检,风险提示
BQ0151,客户域,营销,advice,hard,针对开业至今的流失预警客户，建议怎么召回,客户经营建议,需带依据与动作
BQ0152,客户域,营销,advice,hard,王思琪适合推荐什么项目，为什么,客户经营建议,需带依据与动作
BQ0153,客户域,营销,advice,hard,给沉睡的金卡会员设计一个唤醒方案,客户经营建议,需带依据与动作
BQ0154,客户域,营销,advice,hard,抗衰管理 6 次卡快到期的客户该怎么促约,客户经营建议,需带依据与动作
BQ0155,客户域,营销,advice,hard,高价值客户的专属权益怎么设计,客户经营建议,需带依据与动作
BQ0156,客户域,营销,advice,hard,新客首单后如何提升二次到店,客户经营建议,需带依据与动作
BQ0157,客户域,营销,advice,hard,郭语嫣的下一步经营动作你建议是什么,客户经营建议,需带依据与动作
BQ0158,客户域,营销,advice,hard,钻石会员客群怎么提升客单价,客户经营建议,需带依据与动作
BQ0159,客户域,营销,advice,hard,针对春节期间的流失预警客户，建议怎么召回,客户经营建议,需带依据与动作
BQ0160,客户域,营销,advice,hard,赵思琪适合推荐什么项目，为什么,客户经营建议,需带依据与动作
BQ0161,客户域,营销,advice,hard,给沉睡的钻石会员设计一个唤醒方案,客户经营建议,需带依据与动作
BQ0162,客户域,营销,advice,hard,补水护理 10 次卡快到期的客户该怎么促约,客户经营建议,需带依据与动作
BQ0163,客户域,营销,advice,hard,徐静怡的下一步经营动作你建议是什么,客户经营建议,需带依据与动作
BQ0164,客户域,营销,advice,hard,金卡会员客群怎么提升客单价,客户经营建议,需带依据与动作
BQ0165,客户域,营销,advice,hard,针对本周的流失预警客户，建议怎么召回,客户经营建议,需带依据与动作
BQ0166,客户域,营销,advice,hard,黄梦瑶适合推荐什么项目，为什么,客户经营建议,需带依据与动作
BQ0167,客户域,营销,advice,hard,综合养护 20 次卡快到期的客户该怎么促约,客户经营建议,需带依据与动作
BQ0168,客户域,营销,advice,hard,马欣怡的下一步经营动作你建议是什么,客户经营建议,需带依据与动作
BQ0169,客户域,营销,advice,hard,针对上个月的流失预警客户，建议怎么召回,客户经营建议,需带依据与动作
BQ0170,客户域,营销,advice,hard,罗紫萱适合推荐什么项目，为什么,客户经营建议,需带依据与动作
BQ0171,客户域,营销,advice,hard,敏感修护 8 次卡快到期的客户该怎么促约,客户经营建议,需带依据与动作
BQ0172,客户域,营销,advice,hard,孙婉清的下一步经营动作你建议是什么,客户经营建议,需带依据与动作
BQ0173,客户域,营销,advice,hard,针对最近三个月的流失预警客户，建议怎么召回,客户经营建议,需带依据与动作
BQ0174,客户域,营销,advice,hard,周语嫣适合推荐什么项目，为什么,客户经营建议,需带依据与动作
BQ0175,客户域,营销,advice,hard,焕肤清洁 12 次卡快到期的客户该怎么促约,客户经营建议,需带依据与动作
BQ0176,客户域,营销,advice,hard,朱梦瑶的下一步经营动作你建议是什么,客户经营建议,需带依据与动作
BQ0177,客户域,营销,advice,hard,针对这个季度的流失预警客户，建议怎么召回,客户经营建议,需带依据与动作
BQ0178,客户域,营销,advice,hard,马佳慧适合推荐什么项目，为什么,客户经营建议,需带依据与动作
BQ0179,客户域,营销,advice,hard,林雨薇的下一步经营动作你建议是什么,客户经营建议,需带依据与动作
BQ0180,客户域,营销,advice,hard,针对双十一期间的流失预警客户，建议怎么召回,客户经营建议,需带依据与动作
BQ0181,客户域,营销,prediction,hard,预测马欣怡的流失风险有多高,CustomerPredictionSnapshot,复用预测资产
BQ0182,客户域,营销,prediction,hard,未来30天可能流失的客户有多少,CustomerPredictionSnapshot,复用预测资产
BQ0183,客户域,营销,prediction,hard,本周末哪些客户最可能复购,CustomerPredictionSnapshot,复用预测资产
BQ0184,客户域,营销,prediction,hard,预测黄婉清的12个月生命周期价值,CustomerPredictionSnapshot,复用预测资产
BQ0185,客户域,营销,prediction,hard,对营销触达响应度最高的是哪些客户,CustomerPredictionSnapshot,复用预测资产
BQ0186,客户域,营销,prediction,hard,杨紫萱的客户价值分层预测,CustomerPredictionSnapshot,复用预测资产
BQ0187,客户域,营销,prediction,hard,预测钻石会员客群的复购概率,CustomerPredictionSnapshot,复用预测资产
BQ0188,客户域,营销,prediction,hard,哪些新客最可能转化为高价值客户,CustomerPredictionSnapshot,复用预测资产
BQ0189,客户域,营销,prediction,hard,预测孙婉清的流失风险有多高,CustomerPredictionSnapshot,复用预测资产
BQ0190,客户域,营销,prediction,hard,国庆期间哪些客户最可能复购,CustomerPredictionSnapshot,复用预测资产
BQ0191,客户域,营销,prediction,hard,预测杨紫萱的12个月生命周期价值,CustomerPredictionSnapshot,复用预测资产
BQ0192,客户域,营销,prediction,hard,黄思琪的客户价值分层预测,CustomerPredictionSnapshot,复用预测资产
BQ0193,客户域,营销,prediction,hard,预测金卡会员客群的复购概率,CustomerPredictionSnapshot,复用预测资产
BQ0194,客户域,营销,prediction,hard,预测朱梦瑶的流失风险有多高,CustomerPredictionSnapshot,复用预测资产
BQ0195,客户域,营销,prediction,hard,这半年哪些客户最可能复购,CustomerPredictionSnapshot,复用预测资产
BQ0196,客户域,营销,prediction,hard,预测黄思琪的12个月生命周期价值,CustomerPredictionSnapshot,复用预测资产
BQ0197,客户域,营销,prediction,hard,周若兰的客户价值分层预测,CustomerPredictionSnapshot,复用预测资产
BQ0198,客户域,营销,prediction,hard,预测林雨薇的流失风险有多高,CustomerPredictionSnapshot,复用预测资产
BQ0199,客户域,营销,prediction,hard,昨天哪些客户最可能复购,CustomerPredictionSnapshot,复用预测资产
BQ0200,客户域,营销,prediction,hard,预测周若兰的12个月生命周期价值,CustomerPredictionSnapshot,复用预测资产
BQ0201,客户域,营销,prediction,hard,王静怡的客户价值分层预测,CustomerPredictionSnapshot,复用预测资产
BQ0202,客户域,营销,prediction,hard,预测徐佳慧的流失风险有多高,CustomerPredictionSnapshot,复用预测资产
BQ0203,客户域,营销,prediction,hard,本月哪些客户最可能复购,CustomerPredictionSnapshot,复用预测资产
BQ0204,客户域,营销,prediction,hard,预测王静怡的12个月生命周期价值,CustomerPredictionSnapshot,复用预测资产
BQ0205,客户域,营销,prediction,hard,朱静怡的客户价值分层预测,CustomerPredictionSnapshot,复用预测资产
BQ0206,客户域,营销,prediction,hard,预测刘梦瑶的流失风险有多高,CustomerPredictionSnapshot,复用预测资产
BQ0207,客户域,营销,prediction,hard,最近30天哪些客户最可能复购,CustomerPredictionSnapshot,复用预测资产
BQ0208,客户域,营销,prediction,hard,预测朱静怡的12个月生命周期价值,CustomerPredictionSnapshot,复用预测资产
BQ0209,客户域,营销,prediction,hard,罗婉清的客户价值分层预测,CustomerPredictionSnapshot,复用预测资产
BQ0210,客户域,营销,prediction,hard,预测罗思琪的流失风险有多高,CustomerPredictionSnapshot,复用预测资产
BQ0211,客户域,前台,action,medium,帮王静怡新建客户档案，电话138xxxx807,customers/* API,"写操作,需回执"
BQ0212,客户域,前台,action,medium,把吴梦瑶的会员等级升到金卡会员,customers/* API,"写操作,需回执"
BQ0213,客户域,前台,action,medium,"给吴梦瑶的档案加个""敏感肌""标签",customers/* API,"写操作,需回执"
BQ0214,客户域,前台,action,medium,更新吴梦瑶的健康档案,customers/* API,"写操作,需回执"
BQ0215,客户域,前台,action,medium,给吴梦瑶创建一条回访跟进任务,customers/* API,"写操作,需回执"
BQ0216,客户域,前台,action,medium,登记吴梦瑶今天到店,customers/* API,"写操作,需回执"
BQ0217,客户域,前台,action,medium,给吴梦瑶备注一下偏好头皮舒缓养护,customers/* API,"写操作,需回执"
BQ0218,客户域,前台,action,medium,批量给金卡会员打个节日关怀标签,customers/* API,"写操作,需回执"
BQ0219,客户域,前台,action,medium,帮朱静怡新建客户档案，电话138xxxx844,customers/* API,"写操作,需回执"
BQ0220,客户域,前台,action,medium,把何思琪的会员等级升到钻石会员,customers/* API,"写操作,需回执"
BQ0221,客户域,前台,action,medium,"给何思琪的档案加个""敏感肌""标签",customers/* API,"写操作,需回执"
BQ0222,客户域,前台,action,medium,更新何思琪的健康档案,customers/* API,"写操作,需回执"
BQ0223,客户域,前台,action,medium,给何思琪创建一条回访跟进任务,customers/* API,"写操作,需回执"
BQ0224,客户域,前台,action,medium,登记何思琪今天到店,customers/* API,"写操作,需回执"
BQ0225,客户域,前台,action,medium,给何思琪备注一下偏好胶原焕活提拉,customers/* API,"写操作,需回执"
BQ0226,客户域,前台,action,medium,批量给钻石会员打个节日关怀标签,customers/* API,"写操作,需回执"
BQ0227,客户域,前台,action,medium,帮罗婉清新建客户档案，电话138xxxx881,customers/* API,"写操作,需回执"
BQ0228,客户域,前台,action,medium,把郭若兰的会员等级升到金卡会员,customers/* API,"写操作,需回执"
BQ0229,客户域,前台,action,medium,"给郭若兰的档案加个""敏感肌""标签",customers/* API,"写操作,需回执"
BQ0230,客户域,前台,action,medium,更新郭若兰的健康档案,customers/* API,"写操作,需回执"
BQ0231,客户域,前台,action,medium,给郭若兰创建一条回访跟进任务,customers/* API,"写操作,需回执"
BQ0232,客户域,前台,action,medium,登记郭若兰今天到店,customers/* API,"写操作,需回执"
BQ0233,客户域,前台,action,medium,给郭若兰备注一下偏好水氧清洁焕肤,customers/* API,"写操作,需回执"
BQ0234,客户域,前台,action,medium,帮高诗涵新建客户档案，电话138xxxx918,customers/* API,"写操作,需回执"
BQ0235,客户域,前台,action,medium,把徐雅婷的会员等级升到钻石会员,customers/* API,"写操作,需回执"
BQ0236,客户域,前台,action,medium,"给徐雅婷的档案加个""敏感肌""标签",customers/* API,"写操作,需回执"
BQ0237,客户域,前台,action,medium,更新徐雅婷的健康档案,customers/* API,"写操作,需回执"
BQ0238,客户域,前台,action,medium,给徐雅婷创建一条回访跟进任务,customers/* API,"写操作,需回执"
BQ0239,客户域,前台,action,medium,登记徐雅婷今天到店,customers/* API,"写操作,需回执"
BQ0240,客户域,前台,action,medium,给徐雅婷备注一下偏好背部净透护理,customers/* API,"写操作,需回执"
BQ0241,员工域,店长,query_single,easy,店里现在有多少个在职美容师,Beautician/Schedule 表,
BQ0242,员工域,店长,query_single,easy,唐伊是什么职级,Beautician/Schedule 表,
BQ0243,员工域,店长,query_single,easy,唐伊上个月的排班是怎样的,Beautician/Schedule 表,
BQ0244,员工域,店长,query_single,easy,上个月谁在上班,Beautician/Schedule 表,
BQ0245,员工域,店长,query_single,easy,唐伊的联系电话,Beautician/Schedule 表,
BQ0246,员工域,店长,query_single,easy,最近14天有哪些美容师请假,Beautician/Schedule 表,
BQ0247,员工域,店长,query_single,easy,唐伊会做哪些项目,Beautician/Schedule 表,
BQ0248,员工域,店长,query_single,easy,唐伊今年上了几个班,Beautician/Schedule 表,
BQ0249,员工域,店长,query_single,easy,有几个美容师能做射频紧致提升护理,Beautician/Schedule 表,
BQ0250,员工域,店长,query_single,easy,顾然的入职时间,Beautician/Schedule 表,
BQ0251,员工域,店长,query_single,easy,宋乔是什么职级,Beautician/Schedule 表,
BQ0252,员工域,店长,query_single,easy,宋乔最近三个月的排班是怎样的,Beautician/Schedule 表,
BQ0253,员工域,店长,query_single,easy,最近三个月谁在上班,Beautician/Schedule 表,
BQ0254,员工域,店长,query_single,easy,宋乔的联系电话,Beautician/Schedule 表,
BQ0255,员工域,店长,query_single,easy,今天有哪些美容师请假,Beautician/Schedule 表,
BQ0256,员工域,店长,query_single,easy,宋乔会做哪些项目,Beautician/Schedule 表,
BQ0257,员工域,店长,query_single,easy,宋乔本周末上了几个班,Beautician/Schedule 表,
BQ0258,员工域,店长,query_single,easy,有几个美容师能做紧致抗衰护理,Beautician/Schedule 表,
BQ0259,员工域,店长,query_single,easy,唐伊的入职时间,Beautician/Schedule 表,
BQ0260,员工域,店长,query_single,easy,沈晴是什么职级,Beautician/Schedule 表,
BQ0261,员工域,店长,query_single,easy,沈晴这个季度的排班是怎样的,Beautician/Schedule 表,
BQ0262,员工域,店长,query_single,easy,这个季度谁在上班,Beautician/Schedule 表,
