id,role,section,question,previousClass,auditClass,priority,capabilityKey,capabilityLabel,reason,recommendedView,permission,currentSemanticMetricKeys,currentSemanticViews,currentSemanticConfidence,pages,backend,models,developmentFacts
manager-033,一、店长经营 Agent,客户管理,最近有没有客户因为等待时间长而离开,admin_supported_ask_not_open,backend_fact_incomplete,P1,live_store_presence,实时在店、等待与现场状态,预约、排班和服务任务存在，但当前门店的状态事件与等待事件均为 0，无法证明可靠的实时在店、等待、通知或爽约事实。,,core:store:reservations,,,0.35,src/app/pages/ProjectReservation.tsx,packages/server-v2/src/reservations/reservations.controller.ts|packages/server-v2/src/reservations/customer-waiting.controller.ts,Reservation|ReservationStatusEvent|CustomerWaitingEpisode|ServiceTask,"{""Reservation"":384,""ReservationStatusEvent"":0,""CustomerWaitingEpisode"":0,""ServiceTask"":237}"
manager-034,一、店长经营 Agent,客户管理,我们有多少客户开了次卡但从来不来消费,admin_supported_ask_not_open,existing_ask_direct,P0,customer_behavior,客户行为与复购事实,已扩展脱敏客户档案视图，开放来源、年龄段、生日窗口、到店复购、次卡使用和生命周期摘要；不开放手机号、精确生日、健康信息或证据 JSON。,ask_data_customer_profile_summary_view,core:customer:view,customer_profile,ask_data_customer_profile_summary_view,0.97,src/app/pages/CustomerData.tsx,packages/server-v2/src/customers/customers.controller.ts|packages/server-v2/src/customers/customers.service.ts,Customer|ProductOrder|Reservation|CustomerLifecycleSnapshot,"{""Customer"":1253,""CustomerBirthday"":1240,""CustomerSource"":1253,""CustomerVisitFacts"":1055,""ProductOrder"":670,""Reservation"":384}"
manager-035,一、店长经营 Agent,客户管理,今天有没有重要客户来店，需要特别关注的,admin_supported_ask_not_open,existing_facts_new_view,P1,customer_arrival_value_snapshot,当日到店客户价值联合事实,需要把当日预约/到店与客户 LTV 档位安全关联，现有两个禁止 JOIN 的视图不能直接组合。,,,,,0.35,,packages/server-v2/src/ask-data-free-sql/ask-data-semantic-contracts.ts,,{}
manager-036,一、店长经营 Agent,客户管理,哪些沉睡客户最近有点被唤醒的迹象,admin_supported_ask_not_open,existing_ask_direct,P0,customer_behavior,客户行为与复购事实,已扩展脱敏客户档案视图，开放来源、年龄段、生日窗口、到店复购、次卡使用和生命周期摘要；不开放手机号、精确生日、健康信息或证据 JSON。,ask_data_customer_profile_summary_view,core:customer:view,customer_profile,ask_data_customer_profile_summary_view,0.98,src/app/pages/CustomerData.tsx,packages/server-v2/src/customers/customers.controller.ts|packages/server-v2/src/customers/customers.service.ts,Customer|ProductOrder|Reservation|CustomerLifecycleSnapshot,"{""Customer"":1253,""CustomerBirthday"":1240,""CustomerSource"":1253,""CustomerVisitFacts"":1055,""ProductOrder"":670,""Reservation"":384}"
manager-038,一、店长经营 Agent,客户管理,这个月新客主要来自什么渠道,admin_supported_ask_not_open,existing_ask_direct,P0,customer_behavior,客户行为与复购事实,已扩展脱敏客户档案视图，开放来源、年龄段、生日窗口、到店复购、次卡使用和生命周期摘要；不开放手机号、精确生日、健康信息或证据 JSON。,ask_data_customer_profile_summary_view,core:customer:view,customer_profile,ask_data_customer_profile_summary_view,0.98,src/app/pages/CustomerData.tsx,packages/server-v2/src/customers/customers.controller.ts|packages/server-v2/src/customers/customers.service.ts,Customer|ProductOrder|Reservation|CustomerLifecycleSnapshot,"{""Customer"":1253,""CustomerBirthday"":1240,""CustomerSource"":1253,""CustomerVisitFacts"":1055,""ProductOrder"":670,""Reservation"":384}"
manager-039,一、店长经营 Agent,客户管理,老客户平均多久回来一次,admin_supported_ask_not_open,existing_ask_direct,P0,customer_behavior,客户行为与复购事实,已扩展脱敏客户档案视图，开放来源、年龄段、生日窗口、到店复购、次卡使用和生命周期摘要；不开放手机号、精确生日、健康信息或证据 JSON。,ask_data_customer_profile_summary_view,core:customer:view,customer_profile,ask_data_customer_profile_summary_view,0.97,src/app/pages/CustomerData.tsx,packages/server-v2/src/customers/customers.controller.ts|packages/server-v2/src/customers/customers.service.ts,Customer|ProductOrder|Reservation|CustomerLifecycleSnapshot,"{""Customer"":1253,""CustomerBirthday"":1240,""CustomerSource"":1253,""CustomerVisitFacts"":1055,""ProductOrder"":670,""Reservation"":384}"
manager-040,一、店长经营 Agent,客户管理,哪些客户最近消费频率明显下降,admin_supported_ask_not_open,existing_ask_direct,P0,customer_visit_decline,客户到店频率下降,用距最近到店天数与平均复购间隔比较，默认超过 1.5 倍标记为明显下降。当前 Catalog 和独立语义合同已完成接入，按已开放能力计入直接覆盖。,ask_data_customer_profile_summary_view,core:customer:view,customer_profile,ask_data_customer_profile_summary_view,0.98,,packages/server-v2/src/ask-data-free-sql/ask-data-semantic-contracts.ts,,{}
manager-041,一、店长经营 Agent,员工管理,这个月谁的业绩最好,admin_supported_ask_not_open,existing_ask_direct,P0,staff_performance_metric,员工绩效指标,按当月实收业绩降序返回员工排名。当前 Catalog 和独立语义合同已完成接入，按已开放能力计入直接覆盖。,ask_data_staff_performance_view,core:beautician-performance:view,staff_performance,ask_data_staff_performance_view,0.98,,packages/server-v2/src/ask-data-free-sql/ask-data-semantic-contracts.ts,,{}
manager-042,一、店长经营 Agent,员工管理,哪个美容师接的客人最多,admin_supported_ask_not_open,existing_ask_direct,P0,staff_service_volume_metric,员工服务量,按员工服务量降序返回接待客户最多的美容师。当前 Catalog 和独立语义合同已完成接入，按已开放能力计入直接覆盖。,ask_data_staff_performance_view,core:beautician-performance:view,staff_performance,ask_data_staff_performance_view,0.98,,packages/server-v2/src/ask-data-free-sql/ask-data-semantic-contracts.ts,,{}
manager-043,一、店长经营 Agent,员工管理,谁的客户复购率最高,admin_supported_ask_not_open,existing_ask_direct,P0,customer_behavior,客户行为与复购事实,已扩展脱敏客户档案视图，开放来源、年龄段、生日窗口、到店复购、次卡使用和生命周期摘要；不开放手机号、精确生日、健康信息或证据 JSON。,ask_data_customer_profile_summary_view,core:customer:view,customer_profile,ask_data_customer_profile_summary_view,0.98,src/app/pages/CustomerData.tsx,packages/server-v2/src/customers/customers.controller.ts|packages/server-v2/src/customers/customers.service.ts,Customer|ProductOrder|Reservation|CustomerLifecycleSnapshot,"{""Customer"":1253,""CustomerBirthday"":1240,""CustomerSource"":1253,""CustomerVisitFacts"":1055,""ProductOrder"":670,""Reservation"":384}"
manager-044,一、店长经营 Agent,员工管理,有没有员工这周业绩明显下滑,admin_supported_ask_not_open,existing_ask_direct,P1,staff_daily_performance_fact,员工日/周绩效事实,现有员工绩效视图仅有月粒度，不能证明本周与上周业绩下滑。当前 Catalog 和独立语义合同已完成接入，按已开放能力计入直接覆盖。,ask_data_staff_performance_view,,staff_performance,ask_data_staff_performance_view,0.98,,packages/server-v2/src/ask-data-free-sql/ask-data-semantic-contracts.ts,,{}
manager-047,一、店长经营 Agent,员工管理,今天谁请假了，有没有影响接待,admin_supported_ask_not_open,backend_fact_incomplete,P1,live_store_presence,实时在店、等待与现场状态,预约、排班和服务任务存在，但当前门店的状态事件与等待事件均为 0，无法证明可靠的实时在店、等待、通知或爽约事实。,,core:store:reservations,,,0.35,src/app/pages/ProjectReservation.tsx,packages/server-v2/src/reservations/reservations.controller.ts|packages/server-v2/src/reservations/customer-waiting.controller.ts,Reservation|ReservationStatusEvent|CustomerWaitingEpisode|ServiceTask,"{""Reservation"":384,""ReservationStatusEvent"":0,""CustomerWaitingEpisode"":0,""ServiceTask"":237}"
manager-048,一、店长经营 Agent,员工管理,哪个美容师的客诉最多，最近有没有,admin_supported_ask_not_open,existing_ask_direct,P0,staff_feedback_metric,员工客诉与反馈,客户反馈视图已包含员工和投诉类型；真实为空时必须回答暂无反馈数据。当前 Catalog 和独立语义合同已完成接入，按已开放能力计入直接覆盖。,ask_data_customer_feedback_view,core:customer:view,customer_feedback,ask_data_customer_feedback_view,0.98,,packages/server-v2/src/ask-data-free-sql/ask-data-semantic-contracts.ts,,{}
manager-051,一、店长经营 Agent,员工管理,今天谁服务了几个客人,admin_supported_ask_not_open,existing_ask_direct,P0,staff_completed_service_metric,员工完成服务量,按当日 completed 服务任务和美容师分组统计客户数。当前 Catalog 和独立语义合同已完成接入，按已开放能力计入直接覆盖。,agent_v3_service_quality_view,core:store:reservations,service_quality,agent_v3_service_quality_view,0.98,,packages/server-v2/src/ask-data-free-sql/ask-data-semantic-contracts.ts,,{}
manager-052,一、店长经营 Agent,员工管理,哪个员工这个月进步最快,admin_supported_ask_not_open,existing_ask_direct,P0,staff_performance_improvement,员工绩效进步,比较当月与上月员工实收业绩差额并排名。当前 Catalog 和独立语义合同已完成接入，按已开放能力计入直接覆盖。,ask_data_staff_performance_view,core:beautician-performance:view,staff_performance,ask_data_staff_performance_view,0.98,,packages/server-v2/src/ask-data-free-sql/ask-data-semantic-contracts.ts,,{}
manager-053,一、店长经营 Agent,员工管理,有没有员工最近很长时间没有新客了,admin_supported_ask_not_open,existing_ask_direct,P0,customer_behavior,客户行为与复购事实,已扩展脱敏客户档案视图，开放来源、年龄段、生日窗口、到店复购、次卡使用和生命周期摘要；不开放手机号、精确生日、健康信息或证据 JSON。,ask_data_customer_profile_summary_view,core:customer:view,customer_profile,ask_data_customer_profile_summary_view,0.98,src/app/pages/CustomerData.tsx,packages/server-v2/src/customers/customers.controller.ts|packages/server-v2/src/customers/customers.service.ts,Customer|ProductOrder|Reservation|CustomerLifecycleSnapshot,"{""Customer"":1253,""CustomerBirthday"":1240,""CustomerSource"":1253,""CustomerVisitFacts"":1055,""ProductOrder"":670,""Reservation"":384}"
manager-055,一、店长经营 Agent,员工管理,哪个美容师擅长的项目客户最满意,admin_supported_ask_not_open,existing_facts_new_view,P1,staff_customer_outcomes,员工客户经营结果,订单、服务任务、员工、客户、反馈和提成事实可以形成受控员工结果视图；必须固定客户归属与去重口径，不读取反馈原文。,ask_data_staff_customer_outcome_view,core:beautician-performance:view,,,0.35,src/app/pages/operation-profit/BeauticianPerformance.tsx,packages/server-v2/src/orders/orders.controller.ts|packages/server-v2/src/customer-feedback/customer-feedback.controller.ts,OrderItem|ServiceTask|Customer|CustomerServiceFeedback|CommissionRecord,"{""ProductOrder"":670,""ServiceTask"":237,""Customer"":1253,""CustomerServiceFeedback"":0,""CommissionRecord"":148}"
manager-058,一、店长经营 Agent,员工管理,哪个美容师的升单能力最强,admin_supported_ask_not_open,backend_fact_incomplete,P1,staff_customer_attribution_missing,员工获客、复购、升单与客户归属,订单与服务可关联员工，但“归属客户、转介绍、升单归因、抢客”缺少稳定治理定义，不能仅凭备注或单次订单推断。,,core:beautician-performance:view,,,0.35,src/app/pages/operation-profit/BeauticianPerformance.tsx,packages/server-v2/src/orders/orders.service.ts,OrderItem|ServiceTask|Beautician|Customer,"{""Beautician"":14,""ProductOrder"":670,""ServiceTask"":237}"
manager-061,一、店长经营 Agent,库存运营,现在哪些产品库存不够了,admin_supported_ask_not_open,existing_facts_new_metric,P0,inventory_shortage_metric,低库存与缺货,当前库存低于安全库存即标记为库存不足。,agent_v3_product_inventory_view,core:inventory:products 或 core:inventory:stock,,,0.35,,packages/server-v2/src/ask-data-free-sql/ask-data-semantic-contracts.ts,,{}
manager-064,一、店长经营 Agent,库存运营,最近卖得最好的产品是什么,admin_supported_ask_not_open,existing_ask_direct,P0,product_sales_metric,商品销量排名,“卖得最好的产品”应使用商品销售视图，不使用库存快照。当前 Catalog 和独立语义合同已完成接入，按已开放能力计入直接覆盖。,agent_v3_order_item_sales_view,core:order:products 或 core:goods:products,product_sales,agent_v3_order_item_sales_view,0.98,,packages/server-v2/src/ask-data-free-sql/ask-data-semantic-contracts.ts,,{}
manager-065,一、店长经营 Agent,库存运营,有什么产品积压太久了,admin_supported_ask_not_open,existing_ask_direct,P1,inventory_turnover_planning,库存周转与补货事实,库存、批次、消耗和采购事实存在，可计算历史消耗速度、库存可用天数和周转；预测补货仍应披露假设。当前 Catalog 和独立语义合同已完成接入，按已开放能力计入直接覆盖。,ask_data_inventory_turnover_view,core:inventory:stock,inventory_slow_moving,ask_data_inventory_turnover_view,0.98,src/app/pages/StockManagement.tsx|src/app/pages/PurchaseManagement.tsx,packages/server-v2/src/inventory/inventory.controller.ts,Product|StockBatch|StockMovement|ProcurementOrderItem,"{""Product"":46,""StockBatch"":82,""StockMovement"":570,""ProcurementOrder"":3}"
manager-066,一、店长经营 Agent,库存运营,下次采购需要补什么货,admin_supported_ask_not_open,brain_or_advice,boundary,brain_or_advice,建议、预测或内容生成,题目要求方案、预测、归因解释或内容组织，SQL 只能提供事实证据，最终能力应由独立 Ami Brain 或受控报告能力承接。,,,,,0.35,,,,{}
manager-068,一、店长经营 Agent,库存运营,有没有哪个项目因为缺耗材没法做,admin_supported_ask_not_open,existing_facts_new_view,P1,inventory_turnover_planning,库存周转与补货事实,库存、批次、消耗和采购事实存在，可计算历史消耗速度、库存可用天数和周转；预测补货仍应披露假设。,ask_data_inventory_turnover_view,core:inventory:stock,,,0.35,src/app/pages/StockManagement.tsx|src/app/pages/PurchaseManagement.tsx,packages/server-v2/src/inventory/inventory.controller.ts,Product|StockBatch|StockMovement|ProcurementOrderItem,"{""Product"":46,""StockBatch"":82,""StockMovement"":570,""ProcurementOrder"":3}"
manager-071,一、店长经营 Agent,库存运营,有没有产品快断货但还没采购的,admin_supported_ask_not_open,existing_ask_direct,P1,inventory_turnover_planning,库存周转与补货事实,库存、批次、消耗和采购事实存在，可计算历史消耗速度、库存可用天数和周转；预测补货仍应披露假设。当前 Catalog 和独立语义合同已完成接入，按已开放能力计入直接覆盖。,ask_data_inventory_turnover_view,core:inventory:stock,inventory_procurement_coverage,ask_data_inventory_turnover_view,0.98,src/app/pages/StockManagement.tsx|src/app/pages/PurchaseManagement.tsx,packages/server-v2/src/inventory/inventory.controller.ts,Product|StockBatch|StockMovement|ProcurementOrderItem,"{""Product"":46,""StockBatch"":82,""StockMovement"":570,""ProcurementOrder"":3}"
manager-075,一、店长经营 Agent,库存运营,有没有产品卖出去的价格低于成本的,admin_supported_ask_not_open,existing_facts_new_view,P1,product_project_margin,商品与项目经营毛利,订单明细、商品成本、项目销售和 BOM 成本均存在，但当前利润视图只有已确认月结总额，缺少商品/项目粒度的治理口径。,ask_data_item_margin_view,core:operation-profit:view,,,0.35,src/app/pages/finance/ProfitWorkbench.tsx|src/app/pages/ServiceConsumption.tsx,packages/server-v2/src/orders/orders.controller.ts|packages/server-v2/src/finance-metrics/finance-metrics.controller.ts,OrderItem|Product|ProjectBomItem|StockMovement,"{""ProductOrder"":670,""Product"":46,""ProjectBomItem"":81,""StockMovement"":570}"
manager-078,一、店长经营 Agent,库存运营,哪些产品毛利率最高,admin_supported_ask_not_open,existing_facts_new_view,P1,product_project_margin,商品与项目经营毛利,订单明细、商品成本、项目销售和 BOM 成本均存在，但当前利润视图只有已确认月结总额，缺少商品/项目粒度的治理口径。,ask_data_item_margin_view,core:operation-profit:view,confirmed_profit,ask_data_confirmed_profit_view,0.98,src/app/pages/finance/ProfitWorkbench.tsx|src/app/pages/ServiceConsumption.tsx,packages/server-v2/src/orders/orders.controller.ts|packages/server-v2/src/finance-metrics/finance-metrics.controller.ts,OrderItem|Product|ProjectBomItem|StockMovement,"{""ProductOrder"":670,""Product"":46,""ProjectBomItem"":81,""StockMovement"":570}"
manager-079,一、店长经营 Agent,库存运营,库存的周转率怎么样,admin_supported_ask_not_open,existing_ask_direct,P1,inventory_turnover_planning,库存周转与补货事实,库存、批次、消耗和采购事实存在，可计算历史消耗速度、库存可用天数和周转；预测补货仍应披露假设。当前 Catalog 和独立语义合同已完成接入，按已开放能力计入直接覆盖。,ask_data_inventory_turnover_view,core:inventory:stock,inventory_operational_turnover,ask_data_inventory_turnover_view,0.97,src/app/pages/StockManagement.tsx|src/app/pages/PurchaseManagement.tsx,packages/server-v2/src/inventory/inventory.controller.ts,Product|StockBatch|StockMovement|ProcurementOrderItem,"{""Product"":46,""StockBatch"":82,""StockMovement"":570,""ProcurementOrder"":3}"
manager-081,一、店长经营 Agent,风险预警,今天有没有什么需要我特别注意的风险,admin_supported_ask_not_open,backend_fact_incomplete,P2,unproven_backend_fact,未形成可证明的问数事实,静态页面或对象存在不足以证明题目所需事实；当前未找到完整、可持续且可按门店审计的数据链路。,,,,,0.35,,,,{}
manager-085,一、店长经营 Agent,风险预警,店里设备最近有没有什么问题,admin_supported_ask_not_open,backend_fact_incomplete,P2,device_incident_history,设备故障历史,TerminalDevice 只有当前状态与最近在线时间，没有独立故障事件和维修闭环，不能回答“最近是否出过问题”。,,core:terminal:view,,,0.35,,,TerminalDevice,"{""TerminalDevice"":4}"
manager-086,一、店长经营 Agent,风险预警,今天有没有超时服务影响了下一个预约,admin_supported_ask_not_open,backend_fact_incomplete,P1,live_store_presence,实时在店、等待与现场状态,预约、排班和服务任务存在，但当前门店的状态事件与等待事件均为 0，无法证明可靠的实时在店、等待、通知或爽约事实。,agent_v3_reservation_view,core:store:reservations,reservation_metrics,agent_v3_reservation_view,0.98,src/app/pages/ProjectReservation.tsx,packages/server-v2/src/reservations/reservations.controller.ts|packages/server-v2/src/reservations/customer-waiting.controller.ts,Reservation|ReservationStatusEvent|CustomerWaitingEpisode|ServiceTask,"{""Reservation"":384,""ReservationStatusEvent"":0,""CustomerWaitingEpisode"":0,""ServiceTask"":237}"
manager-088,一、店长经营 Agent,风险预警,有没有员工在没有授权的情况下给了额外优惠,admin_supported_ask_not_open,backend_fact_incomplete,P1,promotion_redemption_events,优惠发放与核销事件闭环,Promotion 有配置与累计计数，但开发门店当前 usedCount 合计为 0，且缺少逐次发放、核销、审批与授权事件，不能证明周期和滥用。,,core:marketing:view,,,0.35,src/app/pages/PromotionManagement.tsx,packages/server-v2/src/marketing/marketing.controller.ts,Promotion|ProductOrder,"{""Promotion"":30,""PromotionUsed"":0}"
manager-091,一、店长经营 Agent,风险预警,最近储值卡提现风险高不高,admin_supported_ask_not_open,backend_fact_incomplete,P2,unproven_backend_fact,未形成可证明的问数事实,静态页面或对象存在不足以证明题目所需事实；当前未找到完整、可持续且可按门店审计的数据链路。,,,,,0.35,,,,{}
